duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small
convnext_tiny+deit_small,elastic_transform,5,10000,79,0.012658227848101266,0.9873417721518988,1,78,0,4.113924050632911,3.90625,0.6243000030517578,0.23350000381469727,0.3280999958515167
convnext_tiny+deit_small,fog,5,10000,79,0.0,1.0,0,79,0,5.132515822784811,4.6875,0.6233999729156494,0.3068999946117401,0.5041000247001648
convnext_tiny+deit_small,frost,5,10000,79,0.01282051282051282,0.9871794871794872,1,77,1,5.992879746835443,5.46875,0.5400000214576721,0.4172999858856201,0.5227000117301941
convnext_tiny+deit_small,gaussian_noise,5,10000,79,0.0,1.0,0,79,0,2.8876582278481013,3.125,0.7842000126838684,0.15530000627040863,0.3273000121116638
convnext_tiny+deit_small,glass_blur,5,10000,79,0.05128205128205128,0.9487179487179487,4,74,1,2.9568829113924053,2.34375,0.7457000017166138,0.10520000010728836,0.15029999613761902
convnext_tiny+deit_small,impulse_noise,5,10000,79,0.0,1.0,0,78,1,2.5909810126582276,2.34375,0.7953000068664551,0.13449999690055847,0.32359999418258667
convnext_tiny+deit_small,jpeg_compression,5,10000,79,0.33783783783783783,0.6621621621621622,25,49,5,7.7136075949367084,7.03125,0.42410001158714294,0.5148000121116638,0.5282999873161316
convnext_tiny+deit_small,motion_blur,5,10000,79,0.08333333333333333,0.9166666666666666,6,66,7,6.151107594936709,6.25,0.6705999970436096,0.23980000615119934,0.2937000095844269
convnext_tiny+deit_small,pixelate,5,10000,79,0.20270270270270271,0.7972972972972973,15,59,5,8.573971518987342,8.59375,0.6334999799728394,0.3330000042915344,0.3659000098705292
convnext_tiny+deit_small,shot_noise,5,10000,79,0.0,1.0,0,79,0,3.490901898734177,3.125,0.7692999839782715,0.1597999930381775,0.3003000020980835
convnext_tiny+deit_small,snow,5,10000,79,0.0,1.0,0,79,0,5.943433544303797,6.25,0.5842999815940857,0.3452000021934509,0.44449999928474426
convnext_tiny+deit_small,zoom_blur,5,10000,79,0.43478260869565216,0.5652173913043478,30,39,10,7.090585443037975,7.03125,0.6348999738693237,0.28200000524520874,0.28700000047683716
convnext_tiny+deit_small,ALL,-,150000,1185,0.10218340611353711,0.8978165938864628,117,1028,40,5.4291930379746836,5.46875,0.6309933324654897,0.2939400022228559,0.38185333609580996
resnet50+deit_small,brightness,5,10000,79,0.7534246575342466,0.2465753424657534,55,18,6,7.327927215189874,7.03125,0.30630001425743103,0.7123000025749207,0.6881999969482422
resnet50+deit_small,contrast,5,10000,79,0.0,1.0,0,79,0,6.655458860759493,6.25,0.8116000294685364,0.2240000069141388,0.39480000734329224
resnet50+deit_small,defocus_blur,5,10000,79,0.0,1.0,0,79,0,6.2796677215189876,6.25,0.885200023651123,0.14710000157356262,0.26899999380111694
resnet50+deit_small,elastic_transform,5,10000,79,1.0,0.0,79,0,0,6.398338607594936,7.03125,0.6783000230789185,0.47440001368522644,0.3280999958515167
resnet50+deit_small,fog,5,10000,79,0.9736842105263158,0.02631578947368421,74,2,3,8.534414556962025,8.59375,0.5199000239372253,0.5857999920845032,0.5041000247001648
resnet50+deit_small,frost,5,10000,79,0.07894736842105263,0.9210526315789473,6,70,3,9.434335443037975,9.375,0.5728999972343445,0.4578000009059906,0.5227000117301941
resnet50+deit_small,gaussian_noise,5,10000,79,0.0,1.0,0,79,0,4.944620253164557,4.6875,0.8597999811172485,0.15860000252723694,0.3273000121116638
resnet50+deit_small,glass_blur,5,10000,79,0.5405405405405406,0.4594594594594595,40,34,5,7.327927215189874,7.8125,0.9045000076293945,0.15559999644756317,0.15029999613761902
resnet50+deit_small,impulse_noise,5,10000,79,0.0,1.0,0,79,0,4.90506329113924,4.6875,0.8579999804496765,0.1623000055551529,0.32359999418258667
resnet50+deit_small,jpeg_compression,5,10000,79,0.0,1.0,0,79,0,8.03995253164557,7.8125,0.6039000153541565,0.40529999136924744,0.5282999873161316
resnet50+deit_small,motion_blur,5,10000,79,0.6081081081081081,0.3918918918918919,45,29,5,11.253955696202532,11.71875,0.7907999753952026,0.3052000105381012,0.2937000095844269
resnet50+deit_small,pixelate,5,10000,79,0.948051948051948,0.05194805194805195,73,4,2,10.423259493670885,10.15625,0.6794000267982483,0.4392000138759613,0.3659000098705292
resnet50+deit_small,shot_noise,5,10000,79,0.0,1.0,0,79,0,6.012658227848101,6.25,0.8666999936103821,0.1656000018119812,0.3003000020980835
resnet50+deit_small,snow,5,10000,79,0.6351351351351351,0.36486486486486486,47,27,5,11.649525316455696,11.71875,0.6295999884605408,0.45899999141693115,0.44449999928474426
resnet50+deit_small,zoom_blur,5,10000,79,1.0,0.0,79,0,0,8.742088607594937,8.59375,0.7451000213623047,0.4025999903678894,0.28700000047683716
resnet50+deit_small,ALL,-,150000,1185,0.43079584775086505,0.5692041522491349,498,658,29,7.861946202531646,7.8125,0.7141333401203156,0.3503200014432271,0.38185333609580996
