corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
fog/s5,96,0.515625,0.6484375,0.515625,0.6484375,0.06252035698133393,0.6121781180262782,0.3659438192844391,0.6340561807155609,0.515625,0.6484375,0.7109375
fog/s5,97,0.421875,0.53125,0.421875,0.53125,-0.3150810466398954,0.125163142954006,0.39168280363082886,0.6083171963691711,0.421875,0.53125,0.5625
fog/s5,98,0.453125,0.578125,0.453125,0.578125,-0.1880522315029396,0.31508104663989545,0.3768046200275421,0.6231953799724579,0.453125,0.578125,0.6015625
fog/s5,99,0.53125,0.59375,0.53125,0.59375,0.125163142954006,0.3794896217049037,0.4367589056491852,0.5632410943508148,0.53125,0.59375,0.640625
fog/s5,100,0.4296875,0.5859375,0.4296875,0.5859375,-0.28312625591592017,0.34719619998418855,0.34743741154670715,0.6525625884532928,0.4296875,0.5859375,0.5625
fog/s5,101,0.578125,0.65625,0.578125,0.65625,0.31508104663989545,0.6466271649250525,0.41786450147628784,0.5821354985237122,0.578125,0.65625,0.7109375
fog/s5,102,0.5625,0.609375,0.5625,0.609375,0.25131442828090617,0.44468582126144574,0.4518072307109833,0.5481927692890167,0.5625,0.609375,0.65625
fog/s5,103,0.4765625,0.59375,0.4765625,0.59375,-0.09381875521765486,0.3794896217049037,0.38383349776268005,0.61616650223732,0.4765625,0.59375,0.59375
fog/s5,104,0.4375,0.5546875,0.4375,0.5546875,-0.25131442828090605,0.21962860920676536,0.38439303636550903,0.615606963634491,0.4375,0.5546875,0.515625
fog/s5,105,0.546875,0.6015625,0.546875,0.6015625,0.18805223150293962,0.41197978912935806,0.4442508816719055,0.5557491183280945,0.546875,0.6015625,0.6171875
fog/s5,106,0.453125,0.5859375,0.453125,0.5859375,-0.1880522315029396,0.34719619998418855,0.3692936301231384,0.6307063698768616,0.453125,0.5859375,0.5625
fog/s5,107,0.484375,0.5546875,0.484375,0.5546875,-0.06252035698133393,0.21962860920676536,0.4299269914627075,0.5700730085372925,0.484375,0.5546875,0.5703125
fog/s5,108,0.4375,0.5703125,0.4375,0.5703125,-0.25131442828090605,0.2831262559159203,0.36948177218437195,0.630518227815628,0.4375,0.5703125,0.5703125
fog/s5,109,0.53125,0.59375,0.53125,0.59375,0.125163142954006,0.3794896217049037,0.4367589056491852,0.5632410943508148,0.53125,0.59375,0.609375
fog/s5,110,0.515625,0.640625,0.515625,0.640625,0.06252035698133393,0.578077850775158,0.3738916218280792,0.6261083781719208,0.515625,0.640625,0.6796875
fog/s5,111,0.484375,0.6171875,0.484375,0.6171875,-0.06252035698133393,0.47762755435639487,0.3681531846523285,0.6318468153476715,0.484375,0.6171875,0.6171875
fog/s5,112,0.546875,0.640625,0.546875,0.640625,0.18805223150293962,0.578077850775158,0.40371114015579224,0.5962888598442078,0.546875,0.640625,0.6328125
fog/s5,113,0.5078125,0.546875,0.5078125,0.546875,0.03125254350410453,0.18805223150293962,0.46088021993637085,0.5391197800636292,0.5078125,0.546875,0.5703125
fog/s5,114,0.4140625,0.59375,0.4140625,0.59375,-0.3471961999841886,0.3794896217049037,0.3259223997592926,0.6740776002407074,0.4140625,0.59375,0.5859375
fog/s5,115,0.5390625,0.5859375,0.5390625,0.5859375,0.15656906069153992,0.34719619998418855,0.4524870216846466,0.5475129783153534,0.5390625,0.5859375,0.5859375
fog/s5,116,0.4609375,0.6015625,0.4609375,0.6015625,-0.15656906069153992,0.41197978912935806,0.361571729183197,0.638428270816803,0.4609375,0.6015625,0.640625
fog/s5,117,0.4296875,0.6015625,0.4296875,0.6015625,-0.28312625591592017,0.41197978912935806,0.33289816975593567,0.6671018302440643,0.4296875,0.6015625,0.5703125
fog/s5,118,0.4140625,0.5546875,0.4140625,0.5546875,-0.3471961999841886,0.21962860920676536,0.36196979880332947,0.6380302011966705,0.4140625,0.5546875,0.5078125
fog/s5,119,0.421875,0.578125,0.421875,0.578125,-0.3150810466398954,0.31508104663989545,0.34747380018234253,0.6525261998176575,0.421875,0.578125,0.5703125
fog/s5,120,0.421875,0.53125,0.421875,0.53125,-0.3150810466398954,0.125163142954006,0.39168280363082886,0.6083171963691711,0.421875,0.53125,0.5390625
fog/s5,121,0.53125,0.6328125,0.53125,0.6328125,0.125163142954006,0.5443015529623801,0.3967229425907135,0.6032770574092865,0.53125,0.6328125,0.640625
fog/s5,122,0.4140625,0.5234375,0.4140625,0.5234375,-0.3471961999841886,0.09381875521765491,0.3914991319179535,0.6085008680820465,0.4140625,0.5234375,0.5703125
fog/s5,123,0.5390625,0.609375,0.5390625,0.609375,0.15656906069153992,0.44468582126144574,0.42846497893333435,0.5715350210666656,0.5390625,0.609375,0.65625
fog/s5,124,0.5234375,0.6015625,0.5234375,0.6015625,0.09381875521765491,0.41197978912935806,0.4211239814758301,0.5788760185241699,0.5234375,0.6015625,0.6484375
fog/s5,125,0.4609375,0.5234375,0.4609375,0.5234375,-0.15656906069153992,0.09381875521765491,0.43772804737091064,0.5622719526290894,0.4609375,0.5234375,0.5390625
fog/s5,126,0.4765625,0.6015625,0.4765625,0.6015625,-0.09381875521765486,0.41197978912935806,0.37617895007133484,0.6238210499286652,0.4765625,0.6015625,0.609375
fog/s5,127,0.546875,0.6484375,0.546875,0.6484375,0.18805223150293962,0.6121781180262782,0.3955298662185669,0.6044701337814331,0.546875,0.6484375,0.6484375
fog/s5,128,0.5,0.578125,0.5,0.578125,0.0,0.31508104663989545,0.421875,0.578125,0.5,0.578125,0.609375
