corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
fog/s5,93,0.5625,0.625,0.5625,0.625,0.07200244384111322,0.4508428316827345,0.40640661120414734,0.5935933887958527,0.5625,0.625,0.671875
fog/s5,94,0.4765625,0.5859375,0.4765625,0.5859375,-0.010908155688270818,0.3990195158334615,0.39892950654029846,0.6010704934597015,0.4765625,0.5859375,0.6171875
fog/s5,95,0.4921875,0.5625,0.4921875,0.5625,-0.021080349596187622,0.3251669720571838,0.41429275274276733,0.5857072472572327,0.4921875,0.5625,0.546875
fog/s5,96,0.515625,0.6484375,0.515625,0.6484375,0.020720003692573152,0.468672545041731,0.38984766602516174,0.6101523339748383,0.515625,0.6484375,0.703125
fog/s5,97,0.421875,0.53125,0.421875,0.53125,-0.14718052147366112,0.29691784399786847,0.39076483249664307,0.6092351675033569,0.421875,0.53125,0.5625
fog/s5,98,0.453125,0.578125,0.453125,0.578125,-0.16761637648830036,0.30599944531888196,0.3837607502937317,0.6162392497062683,0.453125,0.578125,0.59375
fog/s5,99,0.53125,0.59375,0.53125,0.59375,-0.021226616767147183,0.3427445335118928,0.4099986255168915,0.5900013744831085,0.53125,0.59375,0.640625
fog/s5,100,0.4296875,0.5859375,0.4296875,0.5859375,-0.15217643634153366,0.3449703667480407,0.3782114088535309,0.6217885911464691,0.4296875,0.5859375,0.5625
fog/s5,101,0.578125,0.65625,0.578125,0.65625,0.08145230514918089,0.4957987658365466,0.39787036180496216,0.6021296381950378,0.578125,0.65625,0.7109375
fog/s5,102,0.5625,0.609375,0.5625,0.609375,0.16638336671504353,0.47024229354899616,0.42461442947387695,0.575385570526123,0.5625,0.609375,0.6796875
fog/s5,103,0.4765625,0.59375,0.4765625,0.59375,0.036282305748694337,0.4248659576269499,0.4040583372116089,0.5959416627883911,0.4765625,0.59375,0.5703125
fog/s5,104,0.4375,0.5546875,0.4375,0.5546875,-0.10751606126610586,0.3222472834168576,0.39418283104896545,0.6058171689510345,0.4375,0.5546875,0.515625
fog/s5,105,0.546875,0.6015625,0.546875,0.6015625,0.04026808511841688,0.36711353627310783,0.41900837421417236,0.5809916257858276,0.546875,0.6015625,0.6171875
fog/s5,106,0.453125,0.5859375,0.453125,0.5859375,-0.07389207319226135,0.35715486812864816,0.3938763439655304,0.6061236560344696,0.453125,0.5859375,0.5625
fog/s5,107,0.484375,0.5546875,0.484375,0.5546875,-0.06820621508679764,0.28839173866770673,0.4117833375930786,0.5882166624069214,0.484375,0.5546875,0.5703125
fog/s5,108,0.4375,0.5703125,0.4375,0.5703125,-0.15976032168385185,0.28575899729181353,0.3904266357421875,0.6095733642578125,0.4375,0.5703125,0.5703125
fog/s5,109,0.53125,0.59375,0.53125,0.59375,-0.01729858936492293,0.33262430949835864,0.4134010970592499,0.5865989029407501,0.53125,0.59375,0.609375
fog/s5,110,0.515625,0.640625,0.515625,0.640625,0.0226108838082055,0.45535108013675835,0.39347216486930847,0.6065278351306915,0.515625,0.640625,0.6875
fog/s5,111,0.484375,0.6171875,0.484375,0.6171875,-0.019954736586564215,0.4664893172465766,0.38073161244392395,0.619268387556076,0.484375,0.6171875,0.59375
fog/s5,112,0.546875,0.640625,0.546875,0.640625,0.0840487474581877,0.5222835840108673,0.39216166734695435,0.6078383326530457,0.546875,0.640625,0.640625
fog/s5,113,0.5078125,0.546875,0.5078125,0.546875,0.057650645481146116,0.35516790775690343,0.42616453766822815,0.5738354623317719,0.5078125,0.546875,0.578125
fog/s5,114,0.4140625,0.59375,0.4140625,0.59375,-0.14477277725152124,0.3673287647309036,0.37470099329948425,0.6252990067005157,0.4140625,0.59375,0.5546875
fog/s5,115,0.5390625,0.5859375,0.5390625,0.5859375,0.0058981417200093395,0.3572624823575461,0.4130516052246094,0.5869483947753906,0.5390625,0.5859375,0.5859375
