global_idx,corruption,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
46,gaussian_noise/s5,0.0,18.322696685791016,0.00017973617650568485,0.11934840425531915,12.118059173543402,0.7413930957966628,0.21875,4.572361946105957,5.859607696533203,0.17603058510638298,5.086421854952548,6.222945355354471,0.21875,4.356730937957764,4.505249977111816,0.1451130319148936,8.693654618364699,1.1412701398911405,0.10992563515901566
47,gaussian_noise/s5,0.0,18.310426712036133,0.00017203274182975292,0.11686197916666667,12.247066830595335,0.7259509903163538,0.2578125,4.3124213218688965,5.552923679351807,0.177734375,5.070296843846639,6.208986570437749,0.2578125,4.108363628387451,3.96372127532959,0.1474609375,8.598127722740173,1.2000712052127749,0.08345233649015427
48,gaussian_noise/s5,0.0,18.314464569091797,0.00016714545199647546,0.11447704081632654,12.370891274238119,0.7111390751150404,0.2265625,4.486628532409668,5.487864017486572,0.17873086734693877,5.058385245654048,6.194269783642827,0.2109375,4.40188455581665,3.7333359718322754,0.14875637755102042,8.512490107088674,1.2517704861641932,0.06445563584566116
49,gaussian_noise/s5,0.0,18.305437088012695,0.00016249797772616148,0.1121875,12.48958219051361,0.696919543572294,0.21875,4.530146598815918,5.42416524887085,0.17953125,5.0478204727172855,6.178867692947388,0.21875,4.500771522521973,3.5655391216278076,0.15015625,8.432255735397339,1.2980458588734656,0.051627837121486664
50,gaussian_noise/s5,0.0,18.348966598510742,0.00016859822790138423,0.10998774509803921,12.604472080866495,0.6832577603302471,0.15625,4.94371223449707,5.596269130706787,0.1790747549019608,5.0457791347129675,6.167444191726983,0.15625,5.009068965911865,3.772947311401367,0.15027573529411764,8.36513442619174,1.3465733383347969,0.06075640767812729
51,gaussian_noise/s5,0.0,18.294572830200195,0.00016244806465692818,0.10787259615384616,12.71389709527676,0.6701213120174473,0.265625,4.362934112548828,5.66309928894043,0.18073918269230768,5.0326474996713495,6.157745251288781,0.265625,4.143734455108643,3.9195199012756348,0.1524939903846154,8.283953657517067,1.396053079929813,0.06711024045944214
52,gaussian_noise/s5,0.0,18.338150024414062,0.00016232248162850738,0.1058372641509434,12.820015075071803,0.6574805763658281,0.15625,4.688322067260742,5.370660781860352,0.18027712264150944,5.0261507933994505,6.142894600922206,0.15625,4.7629241943359375,3.5071096420288086,0.15256485849056603,8.217519139343837,1.4358843358184732,0.04517136514186859
53,gaussian_noise/s5,0.0,18.351970672607422,0.0001552228641230613,0.10387731481481481,12.922458697248388,0.6453078846343151,0.1953125,4.758701324462891,5.2692718505859375,0.18055555555555555,5.021198025456181,6.126716401841906,0.1875,4.955020904541016,3.2344703674316406,0.15321180555555555,8.157102505366007,1.4691914845520504,0.0338764488697052
54,gaussian_noise/s5,0.0,18.31952667236328,0.0001534296025056392,0.10198863636363636,13.02058720588684,0.6335778036337367,0.2109375,4.481508731842041,5.204799652099609,0.18110795454545456,5.011385492845015,6.109954279119318,0.2109375,4.571221828460693,3.2343785762786865,0.15426136363636364,8.09190467487682,1.5012857953107166,0.025317851454019547
55,gaussian_noise/s5,0.0,18.337425231933594,0.00015726228593848646,0.10016741071428571,13.115530742066246,0.6222667225382403,0.1953125,4.513450622558594,5.129631996154785,0.18136160714285715,5.002493798732758,6.09244852406638,0.1953125,4.690515041351318,3.000363826751709,0.15499441964285715,8.03116557427815,1.528055045872163,0.020690202713012695
56,gaussian_noise/s5,0.0078125,18.23394203186035,0.00015049215289764106,0.09854714912280702,13.20532743136088,0.6113524027069185,0.2265625,4.52919340133667,5.107422828674316,0.18215460526315788,4.994190282988966,6.075167371515642,0.234375,4.71437406539917,3.0412962436676025,0.15638706140350878,7.9729762495609755,1.5546031370615565,0.017784595489501953
57,gaussian_noise/s5,0.0,18.329206466674805,0.00015092433022800833,0.09684806034482758,13.293670173349051,0.6008144461831825,0.21875,4.141478061676025,5.03225040435791,0.1827855603448276,4.9794883481387435,6.0571860444956815,0.21875,4.180753231048584,2.968813419342041,0.15746228448275862,7.907593094069382,1.5789860729629441,0.01701117306947708
58,gaussian_noise/s5,0.0,18.35463523864746,0.00014571379870176315,0.09520656779661017,13.379449242252415,0.5906336202105641,0.2578125,4.124639511108398,5.005585670471191,0.1840572033898305,4.964999384799246,6.039362309342724,0.2578125,4.176199436187744,2.9038257598876953,0.15916313559322035,7.844349133766304,1.6014409829108214,0.013279709964990616
59,gaussian_noise/s5,0.0,18.355663299560547,0.0001449118135496974,0.09361979166666666,13.46238614320755,0.5807921417372806,0.2421875,4.073001861572266,4.750258445739746,0.18502604166666667,4.95013275941213,6.017877244949341,0.2421875,4.242563247680664,2.6509649753570557,0.160546875,7.78431936899821,1.6189330494515919,0.008685328997671604
60,gaussian_noise/s5,0.0,18.327363967895508,0.0001476356410421431,0.09208504098360656,13.5421398780385,0.5712733793422603,0.28125,4.169919013977051,4.8847808837890625,0.18660348360655737,4.937342370142702,5.999301894766385,0.28125,4.312218189239502,2.7948389053344727,0.16252561475409835,7.727399677526756,1.6382101946299998,0.008359999395906925
61,gaussian_noise/s5,0.0,18.363004684448242,0.00014356893370859325,0.09059979838709678,13.61989576201285,0.5620616082066384,0.234375,4.380800247192383,4.64530086517334,0.18737399193548387,4.928365884288665,5.977463168482626,0.234375,4.768162727355957,2.5037546157836914,0.16368447580645162,7.679670049298194,1.6521705885195754,0.006600834429264069
62,gaussian_noise/s5,0.0,18.341087341308594,0.00014680190361104906,0.08916170634920635,13.69483531089056,0.5531423255669079,0.25,4.1763014793396,4.7368245124816895,0.18836805555555555,4.916428354051378,5.957770491403247,0.25,4.405477046966553,2.623297929763794,0.1650545634920635,7.627698731800867,1.6675853082218646,0.006816726177930832
63,gaussian_noise/s5,0.0,18.371583938598633,0.00014061504043638706,0.0877685546875,13.7679095081985,0.5445016738399318,0.21875,4.426367282867432,4.830200672149658,0.1888427734375,4.908771149814129,5.940152212977409,0.21875,4.740647792816162,2.6617140769958496,0.1658935546875,7.5825885608792305,1.6831185702339582,0.007286756299436092
64,gaussian_noise/s5,0.0,18.318456649780273,0.00013495550956577063,0.08641826923076923,13.837917925761296,0.5361268012502338,0.1640625,4.662363052368164,4.946043014526367,0.18846153846153846,4.904980256007268,5.924858225308932,0.1640625,5.020862102508545,2.798121929168701,0.1658653846153846,7.543177384596604,1.7002724680637233,0.009699839167296886
65,gaussian_noise/s5,0.0,18.37938117980957,0.00014132069190964103,0.08510890151515152,13.906727975065058,0.5280058091205623,0.1953125,4.58123254776001,4.603504657745361,0.1885653409090909,4.900074987700491,5.904837716709483,0.1953125,5.106320381164551,2.4074676036834717,0.16631155303030304,7.506255308787028,1.7109875458761439,0.00636408943682909
66,gaussian_noise/s5,0.0,18.35943603515625,0.00013525047688744962,0.08383861940298508,13.97318630432015,0.520127144066179,0.2890625,4.112782955169678,4.510959625244141,0.19006529850746268,4.888324360349285,5.884033566090598,0.2890625,4.4651031494140625,2.2739830017089844,0.1681436567164179,7.460864978050118,1.7193904631273802,0.0049393256194889545
67,gaussian_noise/s5,0.0,18.342649459838867,0.00013690011110156775,0.08260569852941177,14.037443115430719,0.5124802287138985,0.2890625,3.986640691757202,4.073917388916016,0.19152113970588236,4.875064306399402,5.857414210543913,0.2890625,4.470105171203613,2.001587390899658,0.169921875,7.416883216184728,1.7235404179475609,0.002647279528900981
68,gaussian_noise/s5,0.0,18.333980560302734,0.00013937344192527235,0.08140851449275362,14.099711774052054,0.5050549989273482,0.1640625,4.625798225402832,4.625492095947266,0.1911231884057971,4.8714517545009,5.8395602668541065,0.1640625,5.167566776275635,2.434008836746216,0.16983695652173914,7.384284427200538,1.733837061698266,0.0034238004591315985
69,gaussian_noise/s5,0.0,18.402477264404297,0.00013360199227463454,0.08024553571428572,14.161179852485656,0.49784183611398997,0.203125,4.152288913726807,4.431692600250244,0.19129464285714284,4.861177999632699,5.819447871616909,0.203125,4.518665790557861,2.399627208709717,0.1703125,7.343347018105643,1.7433483495127153,0.0035517732612788677
70,gaussian_noise/s5,0.0,18.3438720703125,0.0001346209755865857,0.07911531690140845,14.220091010483218,0.4908318753373927,0.25,4.365482330322266,4.179121017456055,0.19212147887323944,4.8541963704874815,5.796344676487882,0.25,4.958265781402588,2.205841302871704,0.17143485915492956,7.309754324630952,1.7498623347712925,0.002440792741253972
71,gaussian_noise/s5,0.0078125,18.176456451416016,0.00013412703992798924,0.078125,14.275040530496174,0.48401662883326124,0.2734375,3.8925275802612305,4.70965576171875,0.19325086805555555,4.840839859512117,5.7812517748938665,0.2734375,4.001236438751221,2.5623703002929688,0.1728515625,7.263802687327067,1.7611471676257604,0.003848626744002104
72,gaussian_noise/s5,0.0,18.316198348999023,0.00012822262942790985,0.07705479452054795,14.330398856777034,0.4773880205290992,0.2265625,4.214781761169434,4.184806823730469,0.1937071917808219,4.832263721178656,5.7593826659738205,0.2265625,4.725461006164551,2.2201693058013916,0.1735873287671233,7.2290308834755255,1.767435142121317,0.0030505890026688576
73,gaussian_noise/s5,0.0,18.351974487304688,0.0001306901394855231,0.07601351351351351,14.384744473405787,0.4709385971454557,0.2109375,4.216153621673584,4.184863567352295,0.19394003378378377,4.823937909023182,5.738105380857313,0.2109375,4.727444648742676,2.224637508392334,0.1740920608108108,7.195225664087244,1.7736135524763306,0.002499389462172985
74,gaussian_noise/s5,0.0,18.3949031829834,0.00012389177572913468,0.075,14.438213256200155,0.46466106774052607,0.2109375,4.332196235656738,4.208799362182617,0.19416666666666665,4.817381353378296,5.71771463394165,0.2109375,4.879257678985596,2.2926340103149414,0.17458333333333334,7.164346090952555,1.7805338252475122,0.002533246763050556
75,gaussian_noise/s5,0.0,18.359304428100586,0.00013073976151645184,0.07401315789473684,14.489806561093582,0.4585488265829075,0.140625,4.917294979095459,3.987924575805664,0.19346217105263158,4.818696006348259,5.694954238439861,0.140625,5.901625156402588,1.978649616241455,0.17413651315789475,7.14773134181374,1.7831406119711166,0.0018401675624772906
76,gaussian_noise/s5,0.0,18.379596710205078,0.00012486852938309312,0.07305194805194805,14.540323316276847,0.4525952686861085,0.28125,4.04115104675293,3.819973945617676,0.19460227272727273,4.808598019860008,5.670603845026586,0.28125,4.638789653778076,1.9533579349517822,0.1755275974025974,7.115147683527563,1.7853512265552811,0.0012678963830694556
