corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
gaussian_noise/s5,42,0.08838442713022232,0.1305597424507141,0.08838442713022232,0.1305597424507141,-2.333521305154818,-1.9661281955961094,0.1870076209306717,0.8129923790693283,0.0078125,0.1796875,0.171875,128
gaussian_noise/s5,43,0.08838438242673874,0.14866088330745697,0.08838438242673874,0.14866088330745697,-2.3335222248853973,-1.855635487858674,0.1288071572780609,0.8711928427219391,0.0,0.1171875,0.125,128
gaussian_noise/s5,44,0.08838466554880142,0.17606602609157562,0.08838466554880142,0.17606602609157562,-2.333520927815255,-1.6994334064352614,0.07334887236356735,0.9266511276364326,0.0,0.2578125,0.2578125,128
gaussian_noise/s5,45,0.08838517218828201,0.1654934287071228,0.08838517218828201,0.1654934287071228,-2.333517135303147,-1.6586712678507898,0.06300973892211914,0.9369902610778809,0.0078125,0.2265625,0.2421875,128
gaussian_noise/s5,46,0.08838512003421783,0.15016967058181763,0.08838512003421783,0.15016967058181763,-2.3335155626910367,-1.6959710964530255,0.07241453975439072,0.9275854602456093,0.0,0.15625,0.15625,128
gaussian_noise/s5,47,0.08838491886854172,0.12727054953575134,0.08838491886854172,0.12727054953575134,-2.3335160247275217,-1.8106407822815123,0.10992563515901566,0.8900743648409843,0.0,0.21875,0.21875,128
gaussian_noise/s5,48,0.08838502317667007,0.16000092029571533,0.08838502317667007,0.16000092029571533,-2.3335156084567195,-1.7344310057313141,0.08345233649015427,0.9165476635098457,0.0,0.2578125,0.2578125,128
gaussian_noise/s5,49,0.08838549256324768,0.16867902874946594,0.08838549256324768,0.16867902874946594,-2.333512487529153,-1.664724651045117,0.06445563584566116,0.9355443641543388,0.0,0.2265625,0.2109375,128
gaussian_noise/s5,50,0.08838504552841187,0.17552581429481506,0.08838504552841187,0.17552581429481506,-2.3335137011528295,-1.6058421807184744,0.051627837121486664,0.9483721628785133,0.0,0.21875,0.21875,128
gaussian_noise/s5,51,0.0883851945400238,0.155502051115036,0.0883851945400238,0.155502051115036,-2.33351338326744,-1.6489627830942322,0.06075640767812729,0.9392435923218727,0.0,0.15625,0.15625,128
