proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,platt,1024,300,0.91,273,300,0.891461309056663,0.9133574007220217,0.8695652173913043,277,23,0.002886765845579622,0.5453267086742419,0.6312545685619235,0.5907895822826476,0.6885858594126294,0.8298107371037262,0.6658404945756002,0.8463201524304037,0.919956603558235,0.820078490137143
prototype,beta,1024,300,0.91,273,300,0.891461309056663,0.9133574007220217,0.8695652173913043,277,23,0.006326011682838182,0.589882673370934,0.6219843191244084,0.5532464226088168,0.6907861299935056,0.8311354462381602,0.6658404945756002,0.8190566109699556,0.9050174644557726,0.820078490137143
cot,identity,512,600,0.936026936026936,556,594,0.8891941391941391,0.945054945054945,0.8333333333333334,546,48,0.048470262464070234,0.2334823754443718,0.5387738621583014,0.21196825707368952,0.41183753078806035,0.6417456901203625,0.5765721368161967,0.8336153385121765,0.9130253767076666,0.9134726359876193
ac_mc,linear,1024,300,0.9033333333333333,271,300,0.8878512007534138,0.9061371841155235,0.8695652173913043,277,23,-0.05093985753638652,0.6657772969225748,0.5369874406732409,0.03232855415499581,0.43273192226653956,0.6578236255004373,0.536660067302234,0.86646594939287,0.9308415275399299,0.8817607283764107
nuclear_norm,platt,1024,300,0.9,270,300,0.8860461466017893,0.9025270758122743,0.8695652173913043,277,23,-0.03396533646643867,0.45233432422363173,0.6024832107343683,0.4572919031060026,0.5603363444004831,0.748556173176391,0.603780465706928,0.9759322785439102,0.9878928477035909,0.9693386662437534
nuclear_norm,beta,512,600,0.9175084175084175,545,594,0.8791208791208791,0.924908424908425,0.8333333333333334,546,48,0.010073544938107385,0.5888277360245574,0.6778684570377795,0.6973577084943992,0.5494868091448164,0.7412737747585681,0.5733041665875482,0.9285618363503877,0.9636191344874736,0.9509839259779452
nuclear_norm,platt,512,600,0.9124579124579124,542,594,0.8763736263736264,0.9194139194139194,0.8333333333333334,546,48,-0.028290184614273208,0.5129465305928609,0.5821090949048865,0.35173512555022246,0.5195756075010702,0.7208159317752836,0.5733041665875482,0.947654860582406,0.9734756599845761,0.9509839259779452
ac_mc,beta,512,600,0.9090909090909091,540,594,0.8745421245421245,0.9157509157509157,0.8333333333333334,546,48,-0.013848557294586715,0.575636438093821,0.5389603775904567,0.25135955014231226,0.45793568335147444,0.6767094526837012,0.5303069444010055,0.7988249753440502,0.8937700908757521,0.8801832967431535
prototype,platt,512,600,0.9074074074074074,539,594,0.8736263736263736,0.9139194139194139,0.8333333333333334,546,48,0.0033999115058167533,0.5392632059253561,0.6293925848385353,0.5763048696116119,0.6802189005854492,0.8247538424193301,0.6730445258398139,0.8356706589340832,0.9141502387102917,0.8213897193124201
prototype,beta,512,600,0.9057239057239057,538,594,0.8727106227106227,0.9120879120879121,0.8333333333333334,546,48,0.0070485185994846895,0.5823075616957,0.6199005705982127,0.5402491907430981,0.6821397266788692,0.8259175059767587,0.6730445258398139,0.8082304027931777,0.8990163529064295,0.8213897193124201
prototype,linear,512,600,0.9040404040404041,537,594,0.8717948717948718,0.9102564102564102,0.8333333333333334,546,48,-0.00736811879753973,0.6935119619919595,0.65887195653218,0.5758416593084188,0.6835582622640488,0.8267758234636816,0.6730445258398139,0.8031090581353426,0.896163521984321,0.8213897193124201
ac_mc,platt,512,600,0.9040404040404041,537,594,0.8717948717948718,0.9102564102564102,0.8333333333333334,546,48,-0.01798430222161122,0.47554207698573187,0.5015147171554543,0.08285094764635755,0.4429761195079484,0.6655645119054564,0.5303069444010055,0.8787580894315001,0.9374209776997207,0.8801832967431535
ac_mc,linear,512,600,0.8973063973063973,533,594,0.8681318681318682,0.9029304029304029,0.8333333333333334,546,48,-0.05083010176205208,0.6640973567826928,0.5406278691246709,0.0652884574774134,0.42493501247963605,0.6518703954618863,0.5303069444010055,0.8550174798638357,0.924671552424879,0.8801832967431535
nuclear_norm,linear,512,600,0.8939393939393939,531,594,0.8663003663003663,0.8992673992673993,0.8333333333333334,546,48,-0.07616575402338867,0.7974667343079785,0.6225392286236215,0.3631854342365956,0.4784214671738855,0.6916801769415439,0.5733041665875482,0.9431039548937491,0.9711353947281239,0.9509839259779452
nuclear_norm,linear,1024,300,0.86,258,300,0.8643854967822948,0.8592057761732852,0.8695652173913043,277,23,-0.08703646996213665,0.7494409427254617,0.6370797257103187,0.4592086289785766,0.512401475741116,0.7158222375290643,0.603780465706928,0.9733212197827611,0.9865704332599681,0.9693386662437534
atc,linear,1024,300,0.8566666666666667,257,300,0.8625804426306702,0.855595667870036,0.8695652173913043,277,23,0.04333685298820447,0.15533027755598924,0.23576973414145835,-0.06703109287234962,0.304571731578842,0.55188017864283,0.41422966429108227,0.7611109499461035,0.8724167295198456,0.8054433542905065
atc,platt,1024,300,0.8566666666666667,257,300,0.8625804426306702,0.855595667870036,0.8695652173913043,277,23,0.046200438003081254,0.14274454253460378,0.2325575832441664,-0.055539845198999856,0.31758703866509796,0.5635486125127964,0.41422966429108227,0.7790458512665183,0.8826357409863472,0.8054433542905065
atc,beta,1024,300,0.8566666666666667,257,300,0.8625804426306702,0.855595667870036,0.8695652173913043,277,23,-0.011467100257860607,0.47247482199443974,0.4318063516192157,-0.020870762746649132,0.2858830073915397,0.5346802852093386,0.41422966429108227,0.720162670940281,0.848623986781119,0.8054433542905065
atc,linear,512,600,0.8518518518518519,506,594,0.8434065934065934,0.8534798534798534,0.8333333333333334,546,48,0.042758056685185376,0.15755411324828444,0.23944761785764446,-0.05242053803669407,0.3009850984991009,0.5486210882741392,0.40631168055503686,0.751358429137361,0.8668093383999511,0.805515872420999
atc,platt,512,600,0.8518518518518519,506,594,0.8434065934065934,0.8534798534798534,0.8333333333333334,546,48,0.0455361345547874,0.14555071649205814,0.23717301624791381,-0.04275567547415507,0.31381085826334226,0.5601882346705813,0.40631168055503686,0.7692938061860791,0.8770939551644847,0.805515872420999
atc,beta,512,600,0.8484848484848485,504,594,0.8415750915750916,0.8498168498168498,0.8333333333333334,546,48,-0.0160896186777954,0.4930185210188723,0.43579261991470475,-0.006278439703425221,0.27135802149857574,0.5209203600345985,0.40631168055503686,0.7100252899346791,0.842629983999311,0.805515872420999
