proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
cot,linear,128,brightness_s5,157,0.6861313868613139,94,137,0.5,1.0,0.0,94,43,0.12061149526848117,-0.0019513261838861168,-0.00741735790635658,-0.01802453094292153,0.0030929972382199035,0.05561472141636514,0.08040813572185486,0.002227411290274695,0.047195458364917856,0.12881703233408123
cot,linear,128,clean,157,0.5639097744360902,75,133,0.5,1.0,0.0,75,58,0.11626572009866219,0.03553138136330579,0.0970087977985219,0.0903289865236078,0.04971651867512808,0.22297201321046567,0.23801753994895053,0.00015002454218137715,-0.012248450603295796,-0.03633926933472436
cot,linear,128,contrast_s5,157,0.0,0,157,nan,nan,0.0,0,157,0.126544772162469,0.0074041070879195805,0.0618700970864256,0.06203592948503888,0.040447961342519455,0.20111678533260086,0.27624312308480553,0.009794391316540207,0.09896661718246313,0.1088277240253693
cot,linear,128,defocus_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13700648684476938,0.004191137404934241,0.04030066560098276,0.043688233141231894,0.0022593732782347845,0.04753286524326915,0.06315375200534613,0.017978940823537223,0.13408557276432548,0.08026924512087007
cot,linear,128,elastic_transform_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.14005785981799176,-0.006072903457708534,-0.05564693027983965,-0.03621745473463612,0.009272285489595853,0.09629270735417014,0.04143705767367485,0.008863136443047375,0.09414423212840697,0.11623540068358564
cot,linear,128,fog_s5,157,0.9745222929936306,153,157,0.5,1.0,0.0,153,4,0.12465429553447643,-0.0011162571389314619,-0.008156694891144886,-0.0448372755891691,0.0013101740585917674,0.03619632658974896,0.0007552831569215576,0.0148840832922467,0.12200034136118923,0.12982885540976843
cot,linear,128,frost_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.13061824581517958,-0.006290095123454757,-0.04648417968482276,-0.0721986173042376,0.0003804228174979841,-0.019504430714532124,-0.016732144703379543,0.07825519489003706,0.27974129993627517,0.23381186817424504
cot,linear,128,gaussian_noise_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.14015857208756985,0.0037540864366521045,0.04534310188202345,0.0006294761740621525,0.024753499535957766,0.15733244908777644,0.17271764258259206,0.0709132960784444,0.2662955051788227,0.2928293301343152
cot,linear,128,glass_blur_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.1406540936318136,-0.004548978886964013,-0.042247120421436,-0.01506927146878759,0.013996637445298856,0.11830738542161624,0.10257760324520068,0.018347527070720012,0.13545304378536502,0.09077437979257905
cot,linear,128,impulse_noise_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.1403843297611091,0.0035410624735051897,0.050248839445553514,0.07143606895312103,0.04126056085460651,0.20312695747883025,0.19385068972445801,0.03699631440718749,0.1923442601357979,0.1559691075013409
