proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
atc,isotonic,128,628,0.6981132075471698,407,583,0.6277365841397512,0.9068493150684932,0.3486238532110092,365,218,0.020601586684128405,0.21030739440403048,0.33244666551242574,0.33397233389480746,0.7929837229073997,0.8904963351454063,0.9181096519038894,0.8099985825805722,0.8999992125444178,0.9425056300449887
prototype,beta,128,628,0.6449399656946827,376,583,0.6148297096895815,0.7342465753424657,0.4954128440366973,365,218,0.006808738974736339,0.18608050826879227,0.25562405793229087,0.29533090027966385,0.8585412834271998,0.9265750284932137,0.9424053506028375,0.8604963764060067,0.9276294391652341,0.95155724052222
prototype,platt,512,160,0.6580645161290323,102,155,0.6133000369959305,0.7549019607843137,0.4716981132075472,102,53,0.006522699032831774,0.36013914721666185,0.3647315816704004,0.4717994438871307,0.9143768715008942,0.9562305535282243,0.9585667466071393,0.9256988322525368,0.9621324400790864,0.9536522760298731
prototype,isotonic,128,628,0.6483704974271012,378,583,0.6120271459092623,0.7561643835616438,0.46788990825688076,365,218,0.007038336330608427,0.1802902163272904,0.23495602649005884,0.35448615772689973,0.6648373572589362,0.8153755927539996,0.8854433072070552,0.7475858994534166,0.8646304987990052,0.9286470270338926
prototype,platt,1024,80,0.6582278481012658,52,79,0.6103703703703703,0.7407407407407407,0.48,54,25,0.006200833598177393,0.4173608605161986,0.37616843688845925,0.5395368533035237,0.9339678763171071,0.9664201344741877,0.9600220446766624,0.9391015338728576,0.9690725121851602,0.9537568932012046
prototype,linear,128,628,0.6380789022298456,372,583,0.609350257634787,0.7232876712328767,0.4954128440366973,365,218,0.008689309121674814,0.21039984567672781,0.26852942357917425,0.30317278882091275,0.8578472176881581,0.9262004198272413,0.9424053506028375,0.8507769797772265,0.9223757259258434,0.95155724052222
cot,platt,512,160,0.7225806451612903,112,155,0.6034036256011839,0.9803921568627451,0.22641509433962265,102,53,0.008211751331685726,0.1109024312989317,0.5548652508941169,0.5649084808421361,0.7389632689933308,0.8596297278441054,0.8702061657281157,0.7843386116542457,0.8856289356464397,0.8807409121549756
atc,linear,2048,40,0.625,25,40,0.6003134796238244,0.6551724137931034,0.5454545454545454,29,11,0.008495560979803973,0.2736453483596853,0.3659326867779174,0.2302711923837646,0.9425212771703968,0.9708353501858061,0.9709084768121522,0.9835940362822694,0.9917630948378092,0.9447415329768272
atc,platt,2048,40,0.625,25,40,0.6003134796238244,0.6551724137931034,0.5454545454545454,29,11,0.006858371619130489,0.21546652983524117,0.2992084169687415,0.2260486155063117,0.9533626470891365,0.9764029122698972,0.9709084768121522,0.9894231530225437,0.9946975183554766,0.9447415329768272
atc,beta,2048,40,0.625,25,40,0.6003134796238244,0.6551724137931034,0.5454545454545454,29,11,0.005146972403725865,0.1993785788227232,0.2168729998160513,0.20671859691174957,0.9151764274108815,0.9566485391254624,0.9709084768121522,0.9830068176295559,0.9914670027941201,0.9447415329768272
prototype,linear,512,160,0.6451612903225806,100,155,0.5944321124676286,0.7549019607843137,0.4339622641509434,102,53,0.006456985162126709,0.37710671255854333,0.37726010415433175,0.4813713324813814,0.881776994246352,0.939029815419272,0.9585667466071393,0.881289020836768,0.938769950966033,0.9536522760298731
prototype,beta,512,160,0.6451612903225806,100,155,0.5944321124676286,0.7549019607843137,0.4339622641509434,102,53,0.004864569785547523,0.33246393424631254,0.3574041921788558,0.4754966078374207,0.8826705613664094,0.939505487672323,0.9585667466071393,0.8910338476016688,0.943945892306158,0.9536522760298731
cot,linear,512,160,0.7161290322580646,111,155,0.5939696633370329,0.9803921568627451,0.20754716981132076,102,53,0.008544820238417121,0.10745813653511328,0.5610833767066634,0.5693749714170406,0.7314573253671363,0.8552527844837082,0.8702061657281157,0.7763650977968843,0.8811158254150724,0.8807409121549756
atc,linear,512,160,0.6129032258064516,95,155,0.5835183129855717,0.6764705882352942,0.49056603773584906,102,53,0.009483303319776622,0.1509194696255318,0.20823403460431128,0.2843737857003029,0.8810272336856254,0.9386305096712046,0.9423404771529899,0.9650280840098934,0.9823584295000951,0.9598002286192363
atc,platt,512,160,0.6064516129032258,94,155,0.5786163522012578,0.6666666666666666,0.49056603773584906,102,53,0.0076356491786051485,0.11072352149566982,0.15632768572630185,0.268631130292436,0.8892297995520551,0.9429898194318193,0.9423404771529899,0.970232320426993,0.9850037159457791,0.9598002286192363
prototype,linear,1024,80,0.6329113924050633,50,79,0.5703703703703704,0.7407407407407407,0.4,54,25,0.0061970162315059365,0.4349102197474685,0.3894790610817188,0.5433935348473654,0.9000815727140146,0.9487262896715862,0.9600220446766624,0.8936221125647603,0.9453158797802776,0.9537568932012046
prototype,beta,1024,80,0.6329113924050633,50,79,0.5703703703703704,0.7407407407407407,0.4,54,25,0.004660542359957308,0.38085285120625867,0.3656841967868122,0.5396540776665585,0.9009840054701451,0.9492017727912991,0.9600220446766624,0.903589032144732,0.9505730020070694,0.9537568932012046
nuclear_norm,isotonic,128,628,0.5283018867924528,308,583,0.5697122030916175,0.4054794520547945,0.7339449541284404,365,218,-0.007557087229895917,0.1920260601647629,0.38686020121072795,0.356230872233785,0.8182941981952606,0.9045961519900804,0.9269215997541917,0.8114629842436902,0.900812402358943,0.947895834719438
atc,platt,128,628,0.5934819897084048,346,583,0.5635729546311423,0.6821917808219178,0.44495412844036697,365,218,0.008101085453657656,0.09600656784711538,0.1474715022118422,0.16590474626983798,0.8671376904048237,0.9312022822162882,0.9269863649482657,0.9196272229234439,0.9589719614897215,0.9502331461172944
atc,linear,128,628,0.5900514579759862,344,583,0.5589857986678396,0.6821917808219178,0.43577981651376146,365,218,0.010195130509428038,0.11702931987183152,0.17832159582255955,0.1854355594863746,0.8581556995978156,0.926366935721378,0.9269863649482657,0.9170320479553892,0.9576179029004153,0.9502331461172944
atc,beta,512,160,0.5741935483870968,89,155,0.5541065482796892,0.6176470588235294,0.49056603773584906,102,53,0.005864121463892969,0.10486909117260873,0.12176731209302015,0.20476222626638382,0.8579751026550367,0.9262694546702038,0.9423404771529899,0.9644526481839157,0.9820655009641239,0.9598002286192363
prototype,identity,512,160,0.6645161290322581,103,155,0.5456899741028487,0.9215686274509803,0.16981132075471697,102,53,0.025992248953813916,0.2153298156418235,0.3495602566904956,0.45905939498351533,0.8817769942463516,0.9390298154192718,0.9585667466071393,0.881289020836768,0.938769950966033,0.9536522760298731
prototype,identity,1024,80,0.6708860759493671,53,79,0.5444444444444444,0.8888888888888888,0.2,54,25,0.025878673623537997,0.24555226141982153,0.35658325134953317,0.5267125079875272,0.9000815727140146,0.9487262896715862,0.9600220446766624,0.8936221125647599,0.9453158797802774,0.9537568932012046
atc,beta,128,628,0.5591766723842195,326,583,0.5426416991328391,0.6082191780821918,0.47706422018348627,365,218,0.0062397168612651314,0.09838361299859415,0.12106355019018275,0.1209514482800129,0.8285929210182034,0.9102707954329873,0.9269863649482657,0.9079214845692293,0.9528491405092567,0.9502331461172944
prototype,platt,2048,40,0.6,24,40,0.5266457680250785,0.6896551724137931,0.36363636363636365,29,11,0.006026442532053292,0.43696071864317115,0.3793592581705684,0.5581308281575517,0.9367048734088882,0.9678351478474463,0.949512078908308,0.9411802359552579,0.9701444407691351,0.9410385112843199
atc,linear,1024,80,0.569620253164557,45,79,0.5240740740740741,0.6481481481481481,0.4,54,25,0.0086476544784766,0.2527288264089127,0.3455321051644368,0.29512405637616806,0.9350115496393011,0.9669599524485495,0.9567008985776365,0.9801051313193345,0.9900025915720294,0.9541553828953798
atc,platt,1024,80,0.569620253164557,45,79,0.5240740740740741,0.6481481481481481,0.4,54,25,0.006954536965154791,0.1998888889787952,0.28262421131262816,0.28398774188787135,0.945531086310418,0.9723842277157821,0.9567008985776365,0.9857193331262275,0.9928339907186032,0.9541553828953798
atc,identity,128,628,0.6415094339622641,374,583,0.5215659168028152,0.9972602739726028,0.045871559633027525,365,218,0.1055086167379383,0.13112069772358342,0.1190732713974136,0.11885138555263622,0.8581556995978156,0.926366935721378,0.9269863649482657,0.917032047955389,0.9576179029004152,0.9502331461172944
