proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,platt,128,2940,0.8778046254746289,2543,2897,0.6563308473560773,0.8101424858357185,0.6828533319143099,0.8199539536761102,0.9055130886277184,0.8232243204730304
ac_mc,linear,128,2940,0.8778046254746289,2543,2897,0.42277299921374684,0.6502099654832636,0.5350201998544946,0.8318611212905084,0.9120642089735286,0.8779324033271313
prototype,beta,128,2940,0.8774594408008285,2542,2897,0.6553445444360464,0.8095335350904534,0.6828533319143099,0.8301717799301807,0.9111376295215672,0.8232243204730304
nuclear_norm,linear,128,2940,0.877114256127028,2541,2897,0.43283192923086566,0.6578996346182795,0.5530689648325497,0.9135727463096542,0.9558099948785084,0.9420646435444193
prototype,linear,128,2940,0.875043148084225,2535,2897,0.66021750402024,0.8125376939073289,0.6828533319143099,0.7879631918757285,0.8876729081569001,0.8232243204730304
atc,linear,1024,375,0.8663101604278075,324,374,0.3132447864716834,0.5596827552030555,0.42412910177881186,0.7723343510524339,0.8788255521162512,0.8193937770636587
atc,platt,1024,375,0.8663101604278075,324,374,0.3254517241838229,0.5704837632955235,0.42412910177881186,0.7915149270446958,0.8896712466100587,0.8193937770636587
atc,beta,1024,375,0.8663101604278075,324,374,0.3005013081908197,0.5481799961607681,0.42412910177881186,0.7742528926624173,0.8799164123156342,0.8193937770636587
cot,linear,32,11730,0.8646602991530006,9596,11098,0.030916894197487974,0.1758320056118566,0.15656752183881034,0.08640317035722209,0.293944161971661,0.2720681687443809
cot,platt,32,11730,0.8646602991530006,9596,11098,0.030915953878299075,0.175829331677906,0.15656752183881034,0.0863235936913815,0.2938087706168444,0.2720681687443809
cot,beta,32,11730,0.8646602991530006,9596,11098,nan,nan,nan,nan,nan,nan
cot,isotonic,32,11730,0.8646602991530006,9596,11098,0.0196725096931789,0.14025872412502155,0.13967657531391012,0.0654670367186029,0.2558652706378943,0.25684868515845777
atc,platt,512,735,0.8643835616438356,631,730,0.3225816725447388,0.5679627386939559,0.4203169261492252,0.7831551893827554,0.884960558094402,0.8196848399671572
atc,linear,512,735,0.8602739726027397,628,730,0.3105801979277189,0.5572972258388865,0.4203169261492252,0.7643256236232785,0.8742571839128795,0.8196848399671572
atc,beta,512,735,0.8602739726027397,628,730,0.29629584311929635,0.5443306376820033,0.4203169261492252,0.7661841871985665,0.8753194772187847,0.8196848399671572
ac_mc,isotonic,128,2940,0.8522609596133932,2469,2897,0.48591070860117747,0.6970729578754131,0.5624674015956906,0.7751597401860219,0.8804315647374428,0.8701292650462648
prototype,platt,32,11730,0.8473598846639034,9404,11098,0.5679576208275049,0.7536296310705312,0.6798326439370701,0.7393116189885051,0.8598323202744271,0.7913006217039634
prototype,beta,32,11730,0.8472697783384393,9403,11098,0.5645373011394264,0.7513569731754849,0.6798326439370701,0.7475813468575295,0.8646278661120803,0.7913006217039634
prototype,linear,32,11730,0.8448369075509101,9376,11098,0.5723357860811322,0.7565287741263594,0.6798326439370701,0.7117471172563881,0.843651063684737,0.7913006217039634
nuclear_norm,beta,32,11730,0.8424941430888448,9350,11098,0.38306807560038075,0.618924935351922,0.5322633587473342,0.7727785384407225,0.8790782322641839,0.8562967272587013
nuclear_norm,platt,32,11730,0.8406019102540998,9329,11098,0.3824709744160167,0.6184423776036185,0.5322633587473342,0.7886033928563589,0.8880334412939408,0.8562967272587013
atc,platt,128,2940,0.8405246807041767,2435,2897,0.3107639694509727,0.5574620789353951,0.40805672047268277,0.7424409405732303,0.8616501265439647,0.8091008996361588
ac_mc,beta,32,11730,0.8404216976031718,9327,11098,0.388775476816687,0.623518625877918,0.534817800399883,0.7317175500445898,0.8554049041504204,0.8183348682512688
atc,isotonic,32,11730,0.8400612723013156,9323,11098,0.3156835696867151,0.5618572502751167,0.4499069444671195,0.5366795520028355,0.7325841603548602,0.7251614770309105
