global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
143,shot_noise/s5,64,0.203125,4.572173595428467,6.0750932693481445,0.1867404513888889,5.156487183438407,6.364905615647634
144,shot_noise/s5,64,0.203125,4.821658611297607,6.10547399520874,0.18685344827586206,5.154178020871918,6.3631164320584
145,shot_noise/s5,64,0.234375,4.778709888458252,6.067472457885742,0.1871789383561644,5.151606321334839,6.36109147333119
146,shot_noise/s5,64,0.171875,4.918971538543701,6.141153335571289,0.1870748299319728,5.150023771792042,6.3595952955233
147,shot_noise/s5,64,0.296875,4.713520526885986,6.150922775268555,0.18781672297297297,5.147074425542677,6.358185346062119
148,shot_noise/s5,64,0.15625,5.30705451965332,6.2606306076049805,0.18760486577181207,5.14814811744946,6.357530616273816
149,shot_noise/s5,64,0.171875,4.9732818603515625,6.189539909362793,0.1875,5.14698234240214,6.356410678227743
150,shot_noise/s5,64,0.21875,4.515109062194824,5.9848151206970215,0.1877069536423841,5.142797751142489,6.353949780495751
151,shot_noise/s5,64,0.203125,4.755358695983887,6.042631149291992,0.18780838815789475,5.14024880999013,6.351901631606252
152,shot_noise/s5,64,0.109375,5.239614486694336,6.122297286987305,0.18729575163398693,5.140898258857478,6.350400949615279
153,shot_noise/s5,64,0.1875,4.808771133422852,6.046031475067139,0.18729707792207792,5.138741589211798,6.348424524455876
154,shot_noise/s5,64,0.3125,4.074150562286377,5.842337608337402,0.18810483870967742,5.131873260005828,6.345159447577692
155,shot_noise/s5,64,0.203125,4.792346000671387,5.978048324584961,0.1882011217948718,5.129696803215222,6.3428061711482515
156,shot_noise/s5,64,0.21875,4.745212078094482,5.897757530212402,0.18839570063694266,5.12724785592146,6.339971466428914
157,shot_noise/s5,64,0.171875,4.663389205932617,5.703436374664307,0.18829113924050633,5.124312041681024,6.33594276331648
158,shot_noise/s5,64,0.15625,5.0946784019470215,5.905921459197998,0.18808962264150944,5.124125666588357,6.333238226812591
159,shot_noise/s5,64,0.234375,4.694361686706543,5.825087547302246,0.18837890625,5.121439641714096,6.330062285065651
160,shot_noise/s5,64,0.203125,4.612606048583984,6.0178375244140625,0.18847049689440995,5.118279184613909,6.328123000838001
161,shot_noise/s5,64,0.1875,4.48259162902832,5.978043556213379,0.1884645061728395,5.114355187357208,6.325962016611923
162,shot_noise/s5,64,0.28125,4.579390048980713,5.910067558288574,0.18903374233128833,5.111073192643242,6.323410516867608
163,shot_noise/s5,64,0.28125,4.281192302703857,6.065847396850586,0.18959603658536586,5.106012943314343,6.321840010038236
164,shot_noise/s5,64,0.15625,4.83269739151001,6.079416751861572,0.1893939393939394,5.10435648542462,6.320370778170499
165,shot_noise/s5,64,0.15625,5.038076877593994,5.987333297729492,0.18919427710843373,5.103957210678652,6.318364528288324
