global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
4433,pixelate/s5,128,0.6953125,1.2108596563339233,1.0200889110565186,0.592516447368421,1.9278251479442854,1.5488596939502801,0.59375,1.8084183931350708,1.2228953838348389,0.5209703947368421,2.3830250134145405,2.9219323692465187,0.703125,1.340417504310608,0.412667453289032,0.5982730263157895,2.4909215027228333,0.48102050817998726,0.7772406339645386
4434,pixelate/s5,128,0.6484375,1.6589925289154053,0.8922511339187622,0.5929337686567164,1.925818934369443,1.543959630069448,0.625,1.688322901725769,1.0709067583084106,0.5217467350746269,2.3778406692974605,2.908118745284294,0.6796875,2.053373098373413,0.3212766647338867,0.5988805970149254,2.4876562161232108,0.4798283899453149,0.783159077167511
4435,pixelate/s5,128,0.59375,1.7869210243225098,1.074823260307312,0.5929398148148148,1.924790060961688,1.5404845458489878,0.59375,1.9499964714050293,1.1487312316894531,0.5222800925925926,2.374671453016776,2.8950862451835917,0.6328125,2.0269579887390137,0.46449047327041626,0.5991319444444444,2.484243636661106,0.47971477574772303,0.7147402763366699
4436,pixelate/s5,128,0.625,1.7330217361450195,1.1739732027053833,0.5931755514705882,1.9233799997498007,1.5377896095023436,0.609375,2.012732982635498,1.138625144958496,0.5229204963235294,2.3720101407345604,2.8821710900348774,0.65625,1.9718647003173828,0.4621325731277466,0.5995519301470589,2.4804761444821075,0.4795854948461056,0.6786267757415771
4437,pixelate/s5,128,0.7109375,1.4813474416732788,0.8688913583755493,0.5940351277372263,1.9201534847273445,1.5329071405160166,0.6171875,1.6239278316497803,1.0182814598083496,0.5236085766423357,2.3665496859237227,2.8685660562376034,0.734375,1.8234503269195557,0.3081967234611511,0.6005360401459854,2.47568033559479,0.4783344819162884,0.7688743472099304
4438,pixelate/s5,128,0.6328125,1.9769158363342285,1.0068259239196777,0.5943161231884058,1.9205648061158,1.5290949577870576,0.5390625,2.0001072883605957,1.4041929244995117,0.5237205615942029,2.363894306231236,2.857954656732255,0.640625,2.4063682556152344,0.3470941185951233,0.6008265398550725,2.4751780741456626,0.4773834647907727,0.809707760810852
4439,pixelate/s5,128,0.71875,1.5512467622756958,0.8916842937469482,0.5952113309352518,1.9179078417716267,1.5245092695565532,0.5625,2.0907034873962402,1.0145628452301025,0.5239995503597122,2.3619289046568834,2.8446928451387143,0.7265625,2.0347745418548584,0.32032662630081177,0.6017311151079137,2.4720097034097575,0.47625355947789527,0.8138300776481628
4440,pixelate/s5,128,0.65625,1.627995491027832,0.913669764995575,0.5956473214285715,1.9158370392663138,1.5201461302382606,0.59375,1.9256718158721924,1.1521475315093994,0.5244977678571429,2.3588127825941356,2.832603235755648,0.6640625,2.1099846363067627,0.31712639331817627,0.6021763392857142,2.4694238100733075,0.4751169368624687,0.8384366631507874
4441,pixelate/s5,128,0.6640625,1.4921956062316895,0.9728416204452515,0.5961325354609929,1.9128324900958555,1.516264537970225,0.5859375,1.8828192949295044,1.234336495399475,0.5249335106382979,2.355436942256089,2.821268010646739,0.6640625,1.8784328699111938,0.34954679012298584,0.6026152482269503,2.4652323849657747,0.4742263684458766,0.8477657437324524
4442,pixelate/s5,128,0.578125,1.9006510972976685,1.0725326538085938,0.5960057218309859,1.9127467056395302,1.5131396655465517,0.515625,2.146923065185547,1.3330376148223877,0.5248679577464789,2.353968534671085,2.810787514901497,0.59375,2.479409694671631,0.357044517993927,0.6025528169014085,2.465332225174971,0.47340114414691925,0.8502936959266663
4443,pixelate/s5,128,0.6015625,1.9175292253494263,1.0668082237243652,0.5960445804195804,1.9127801498333057,1.5100184666526901,0.5625,2.238684892654419,1.2291016578674316,0.5251311188811189,2.3531623553562833,2.7997267746425174,0.6328125,2.408055067062378,0.4083004593849182,0.6027644230769231,2.46493168560775,0.472945894603129,0.8315175175666809
4444,pixelate/s5,128,0.6484375,1.614342451095581,0.8531296849250793,0.5964084201388888,1.9107076658142939,1.5054567390018039,0.5546875,2.0377984046936035,1.0359711647033691,0.5253363715277778,2.3509723279211254,2.7874784717957177,0.671875,2.082529306411743,0.314864844083786,0.6032443576388888,2.46227611353,0.47184810953007805,0.800421416759491
4445,pixelate/s5,128,0.59375,1.8649240732192993,1.1104378700256348,0.5963900862068966,1.9103919168998456,1.5027324709398993,0.546875,2.162379026412964,1.3430304527282715,0.5254849137931035,2.349671684462449,2.7775167613193905,0.609375,2.2520480155944824,0.42650526762008667,0.6032866379310344,2.4608262645787207,0.4715354002755264,0.8032742142677307
4446,pixelate/s5,128,0.6015625,1.883825421333313,1.1605170965194702,0.5964255136986302,1.9102099546014446,1.5003885300192115,0.4921875,2.194187879562378,1.3024682998657227,0.5252568493150684,2.34860672689464,2.7674136896655983,0.640625,2.263576030731201,0.46979808807373047,0.6035423801369864,2.459475235579765,0.47152350087688394,0.7679561972618103
4447,pixelate/s5,128,0.6171875,1.5617492198944092,0.9879665374755859,0.5965667517006803,1.9078394734129613,1.4969026661243567,0.5390625,1.9000184535980225,1.0928969383239746,0.5253507653061225,2.3455551059878603,2.7560224192483083,0.640625,1.8435031175613403,0.38117384910583496,0.6037946428571429,2.4552849490626327,0.47090887739544823,0.7514793872833252
4448,pixelate/s5,128,0.546875,2.0389747619628906,1.062204122543335,0.5962309966216216,1.9087255226599205,1.4939655138028634,0.4609375,2.4303383827209473,1.436112642288208,0.5249155405405406,2.3461279659657865,2.747104109944524,0.5625,2.5766234397888184,0.4367998540401459,0.603515625,2.4561048037297017,0.47067841102142594,0.8234570622444153
4449,pixelate/s5,128,0.6796875,1.5039488077163696,1.0446873903274536,0.5967911073825504,1.9060089004119771,1.4909502243835655,0.5703125,2.118319034576416,1.040414571762085,0.5252202181208053,2.3445990469631734,2.7356498177419573,0.7109375,1.7610679864883423,0.42978304624557495,0.604236577181208,2.4514401271039206,0.4704039454860175,0.7281490564346313
4450,pixelate/s5,128,0.6796875,1.4308581352233887,1.0372610092163086,0.59734375,1.9028412286440533,1.4879256296157837,0.515625,1.926378846168518,1.2045679092407227,0.52515625,2.341810912291209,2.725442605018616,0.671875,1.666184425354004,0.3843977451324463,0.6046875,2.4462050890922544,0.4698305708169937,0.7677708268165588
4451,pixelate/s5,128,0.6328125,1.5448579788208008,1.083604097366333,0.597578642384106,1.9004704786452236,1.4852480035743967,0.609375,1.8848650455474854,0.918779730796814,0.5257139900662252,2.3387847807233695,2.713477950222445,0.6640625,1.5938982963562012,0.4967591166496277,0.6050807119205298,2.4405606732463205,0.47000890555760716,0.6180051565170288
4452,pixelate/s5,128,0.6015625,2.1610143184661865,1.0074158906936646,0.5976048519736842,1.902184582854572,1.4821043712528128,0.5078125,2.1679956912994385,1.292647361755371,0.5255962171052632,2.337661168292949,2.704130380561477,0.609375,2.5154881477355957,0.4257228374481201,0.6051089638157895,2.441053617157434,0.46971754984636055,0.705248236656189
4453,pixelate/s5,128,0.6484375,1.6929296255111694,0.9363325834274292,0.597937091503268,1.9008169033948112,1.478537235384673,0.5859375,1.9441022872924805,1.0934534072875977,0.5259906045751634,2.335088888024972,2.693603080082563,0.65625,1.9778048992156982,0.3979377746582031,0.6054432189542484,2.438025847759122,0.4692484009889216,0.743100643157959
4454,pixelate/s5,128,0.703125,1.3253446817398071,0.85600745677948,0.5986201298701299,1.897080070786662,1.4744948342248991,0.6484375,1.6558454036712646,1.0521622896194458,0.5267857142857143,2.3306782160486494,2.6829443736509844,0.7109375,1.6110504865646362,0.32077571749687195,0.6061282467532467,2.4326558778812357,0.4682842926545577,0.8313065767288208
4455,pixelate/s5,128,0.65625,1.4734374284744263,0.8154634237289429,0.598991935483871,1.8943468924491635,1.4702430186733122,0.5859375,1.8790431022644043,1.0135098695755005,0.5271673387096775,2.327764441121009,2.6721738284634005,0.671875,1.9041897058486938,0.28541994094848633,0.6065524193548387,2.4292464187068323,0.46710452264355073,0.8260269165039062
