corruption,batch_idx,n,T_l_opt,T_s_opt,log_T_ratio_opt,opt_nll,T_l_base,T_s_base,base_nll,r_l,r_s,gap_r,acc_l,acc_s
brightness/s5,21,128,1.1597099304199219,0.7399999499320984,0.4492750743084871,0.7716805934906006,0.5936581492424011,0.6630322933197021,0.9634273052215576,0.8728167414665222,0.5995009541511536,0.27331578731536865,0.796875,0.75
brightness/s5,22,128,1.1407397985458374,0.7672519087791443,0.3966170956911455,0.8117303252220154,0.5936581492424011,0.6630322933197021,0.988479495048523,0.8182947635650635,0.6155942678451538,0.20270049571990967,0.7265625,0.6875
brightness/s5,23,128,1.1200075149536133,0.8728361129760742,0.24934286437999237,1.043295979499817,0.5936581492424011,0.6630322933197021,1.3213921785354614,0.8547383546829224,0.6283034086227417,0.22643494606018066,0.75,0.734375
brightness/s5,24,128,1.0736393928527832,0.7904841303825378,0.3061638768132052,0.9366469979286194,0.5936581492424011,0.6630322933197021,1.1374130249023438,0.8449934720993042,0.5285179615020752,0.316475510597229,0.765625,0.65625
brightness/s5,25,128,1.8502328395843506,0.6808642745018005,0.9997037863294602,1.0816235542297363,0.5936581492424011,0.6630322933197021,1.547755241394043,0.8676044940948486,0.6811920404434204,0.18641245365142822,0.703125,0.7109375
brightness/s5,26,128,1.431523084640503,0.6770215630531311,0.7487911273018734,1.0197666883468628,0.5936581492424011,0.6630322933197021,1.3719159364700317,0.8510575294494629,0.6145130395889282,0.23654448986053467,0.6875,0.7109375
brightness/s5,27,128,1.2838423252105713,0.7358897924423218,0.5565323080416787,0.9598613381385803,0.5936581492424011,0.6630322933197021,1.1979252099990845,0.84470534324646,0.645423173904419,0.19928216934204102,0.65625,0.6953125
brightness/s5,28,128,1.1835979223251343,0.7115973234176636,0.5088019707118879,0.8466129899024963,0.5936581492424011,0.6630322933197021,1.0680571794509888,0.8563501238822937,0.5837252736091614,0.2726248502731323,0.7578125,0.7265625
brightness/s5,29,128,1.3592418432235718,0.7034468650817871,0.6586900107461225,0.9301896095275879,0.5936581492424011,0.6630322933197021,1.2105252742767334,0.8534402251243591,0.6571572422981262,0.1962829828262329,0.7265625,0.7265625
brightness/s5,30,128,1.5558382272720337,0.6691983342170715,0.8436892523903706,0.9437739849090576,0.5936581492424011,0.6630322933197021,1.263124942779541,0.8650099039077759,0.6774882078170776,0.18752169609069824,0.7734375,0.7734375
brightness/s5,31,128,1.5015437602996826,0.7525548934936523,0.6907750892606637,0.9746888875961304,0.5936581492424011,0.6630322933197021,1.360013723373413,0.8715766072273254,0.7113603949546814,0.16021621227264404,0.71875,0.75
brightness/s5,32,128,1.399717926979065,0.6364250183105469,0.7881594066416274,0.6902735829353333,0.5936581492424011,0.6630322933197021,0.8880648016929626,0.8612425327301025,0.6493870615959167,0.2118554711341858,0.7578125,0.78125
brightness/s5,33,128,1.6506298780441284,0.6031816005706787,1.006693925122165,0.9560624361038208,0.5936581492424011,0.6630322933197021,1.2883933782577515,0.8337470293045044,0.6359312534332275,0.19781577587127686,0.6796875,0.6875
brightness/s5,34,128,1.5274759531021118,0.5588799118995667,1.0054373248507928,0.8860743045806885,0.5936581492424011,0.6630322933197021,1.1477988958358765,0.8424263000488281,0.6327635645866394,0.20966273546218872,0.703125,0.765625
brightness/s5,35,128,1.4915105104446411,0.6975730061531067,0.7599374742874353,0.9796266555786133,0.5936581492424011,0.6630322933197021,1.347029447555542,0.8628653287887573,0.6661785840988159,0.1966867446899414,0.7109375,0.7734375
brightness/s5,36,128,1.3504464626312256,0.6411274075508118,0.7449623289195394,0.9403731226921082,0.5936581492424011,0.6630322933197021,1.1891111135482788,0.8479783535003662,0.6293442249298096,0.21863412857055664,0.7578125,0.7421875
brightness/s5,37,128,1.5231088399887085,0.7570992112159729,0.6990145112901462,1.0310556888580322,0.5936581492424011,0.6630322933197021,1.4561200141906738,0.8717571496963501,0.7070802450180054,0.16467690467834473,0.71875,0.7265625
brightness/s5,38,128,1.592153549194336,0.6637404561042786,0.8749516185500755,0.9167177081108093,0.5936581492424011,0.6630322933197021,1.2852450609207153,0.8478777408599854,0.6647055149078369,0.18317222595214844,0.734375,0.7421875
brightness/s5,39,128,1.9898093938827515,0.669687807559967,1.0889824862359614,1.1951415538787842,0.5936581492424011,0.6630322933197021,1.8142236471176147,0.8679567575454712,0.6786556243896484,0.18930113315582275,0.71875,0.703125
brightness/s5,40,128,2.510645627975464,0.6183689832687378,1.4012098817573242,1.4230703115463257,0.5936581492424011,0.6630322933197021,2.156395673751831,0.8615524768829346,0.6664140224456787,0.19513845443725586,0.5703125,0.625
brightness/s5,41,128,1.466853141784668,0.8239718675613403,0.5767382772646868,1.0017361640930176,0.5936581492424011,0.6630322933197021,1.3928583860397339,0.8752610683441162,0.7413148880004883,0.13394618034362793,0.7421875,0.703125
brightness/s5,42,128,2.189946174621582,0.6601619720458984,1.1991470276075624,1.2843446731567383,0.5936581492424011,0.6630322933197021,1.8745636940002441,0.8386794328689575,0.6868247985839844,0.15185463428497314,0.609375,0.7109375
brightness/s5,43,128,1.7981553077697754,0.6774389147758484,0.9761972033746664,0.945223331451416,0.5936581492424011,0.6630322933197021,1.3397412300109863,0.8684282898902893,0.7247430086135864,0.14368528127670288,0.7265625,0.734375
brightness/s5,44,128,1.612009048461914,0.6620451807975769,0.8899027336934994,0.87541663646698,0.5936581492424011,0.6630322933197021,1.1828845739364624,0.8538722991943359,0.723433256149292,0.13043904304504395,0.71875,0.75
brightness/s5,45,128,1.7280182838439941,0.6843920350074768,0.9261996262060531,1.2896771430969238,0.5936581492424011,0.6630322933197021,1.8304381370544434,0.8499524593353271,0.6801038980484009,0.16984856128692627,0.65625,0.671875
brightness/s5,46,128,2.13932204246521,0.5652894377708435,1.3309063760203492,0.9006221890449524,0.5936581492424011,0.6630322933197021,1.3252819776535034,0.872246503829956,0.7058237195014954,0.1664227843284607,0.71875,0.765625
brightness/s5,47,128,1.8014980554580688,0.6120877265930176,1.0794982344402144,0.8256856799125671,0.5936581492424011,0.6630322933197021,1.1340506076812744,0.8256556391716003,0.7196241617202759,0.10603147745132446,0.703125,0.7421875
brightness/s5,48,128,2.1888370513916016,0.5637008547782898,1.3566019435467718,0.7729273438453674,0.5936581492424011,0.6630322933197021,1.1562023162841797,0.8465791940689087,0.7386640906333923,0.10791510343551636,0.7578125,0.7890625
brightness/s5,49,128,1.6364555358886719,0.6439076066017151,0.9327326755217512,0.9415990710258484,0.5936581492424011,0.6630322933197021,1.3198416233062744,0.8475272059440613,0.6958141326904297,0.1517130732536316,0.703125,0.7265625
brightness/s5,50,128,1.7711381912231445,0.7719643115997314,0.8304393443327925,1.3030009269714355,0.5936581492424011,0.6630322933197021,2.0147242546081543,0.8626061677932739,0.6992042064666748,0.16340196132659912,0.6484375,0.640625
brightness/s5,51,128,1.9908260107040405,0.6664780378341675,1.0942977247629204,0.8972752690315247,0.5936581492424011,0.6630322933197021,1.347556710243225,0.858243465423584,0.725272536277771,0.132970929145813,0.7109375,0.7734375
brightness/s5,52,128,3.0505897998809814,0.6155567765235901,1.6005630419914705,1.1002376079559326,0.5936581492424011,0.6630322933197021,1.7927095890045166,0.8756524324417114,0.7513278126716614,0.12432461977005005,0.65625,0.7109375
brightness/s5,53,128,1.8163535594940186,0.7087209224700928,0.9411244038595403,1.004125714302063,0.5936581492424011,0.6630322933197021,1.5074585676193237,0.8595190644264221,0.746907651424408,0.11261141300201416,0.6640625,0.7109375
brightness/s5,54,128,1.7357940673828125,0.7717100381851196,0.8106113821400348,1.0149550437927246,0.5936581492424011,0.6630322933197021,1.5056488513946533,0.8725237846374512,0.7506306171417236,0.12189316749572754,0.703125,0.7265625
