duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small,acc_fixed,acc_gate,acc_persample,acc_hard,acc_either
convnext_tiny+deit_small,elastic_transform,5,10000,79,0.012658227848101266,0.9873417721518988,1,78,0,4.113924050632911,3.90625,0.6243000030517578,0.23350000381469727,0.3280999958515167,0.3034000098705292,0.3427610759493671,0.3862999975681305,0.3292128164556962,0.3702999949455261
convnext_tiny+deit_small,fog,5,10000,79,0.0,1.0,0,79,0,5.132515822784811,4.6875,0.6233999729156494,0.3068999946117401,0.5041000247001648,0.4336000084877014,0.5221518987341772,0.5855000019073486,0.5019778481012658,0.5559999942779541
convnext_tiny+deit_small,frost,5,10000,79,0.01282051282051282,0.9871794871794872,1,77,1,5.992879746835443,5.46875,0.5400000214576721,0.4172999858856201,0.5227000117301941,0.5194000005722046,0.5549841772151899,0.612500011920929,0.5219541139240507,0.5835000276565552
convnext_tiny+deit_small,gaussian_noise,5,10000,79,0.0,1.0,0,79,0,2.8876582278481013,3.125,0.7842000126838684,0.15530000627040863,0.3273000121116638,0.27149999141693115,0.3389042721518987,0.3862000107765198,0.32644382911392406,0.35580000281333923
convnext_tiny+deit_small,glass_blur,5,10000,79,0.05128205128205128,0.9487179487179487,4,74,1,2.9568829113924053,2.34375,0.7457000017166138,0.10520000010728836,0.15029999613761902,0.13979999721050262,0.16346914556962025,0.19599999487400055,0.15001977848101267,0.1808999925851822
convnext_tiny+deit_small,impulse_noise,5,10000,79,0.0,1.0,0,78,1,2.5909810126582276,2.34375,0.7953000068664551,0.13449999690055847,0.32359999418258667,0.2574000060558319,0.3358386075949367,0.37619999051094055,0.3220925632911392,0.3490999937057495
convnext_tiny+deit_small,jpeg_compression,5,10000,79,0.33783783783783783,0.6621621621621622,25,49,5,7.7136075949367084,7.03125,0.42410001158714294,0.5148000121116638,0.5282999873161316,0.5584999918937683,0.5752571202531646,0.629800021648407,0.5375791139240507,0.6139000058174133
convnext_tiny+deit_small,motion_blur,5,10000,79,0.08333333333333333,0.9166666666666666,6,66,7,6.151107594936709,6.25,0.6705999970436096,0.23980000615119934,0.2937000095844269,0.2946000099182129,0.32298259493670883,0.3781000077724457,0.29727056962025317,0.3571999967098236
convnext_tiny+deit_small,pixelate,5,10000,79,0.20270270270270271,0.7972972972972973,15,59,5,8.573971518987342,8.59375,0.6334999799728394,0.3330000042915344,0.3659000098705292,0.39899998903274536,0.416435917721519,0.48500001430511475,0.36985759493670883,0.45579999685287476
convnext_tiny+deit_small,shot_noise,5,10000,79,0.0,1.0,0,79,0,3.490901898734177,3.125,0.7692999839782715,0.1597999930381775,0.3003000020980835,0.26100000739097595,0.3139833860759494,0.3628000020980835,0.3004351265822785,0.33559998869895935
convnext_tiny+deit_small,snow,5,10000,79,0.0,1.0,0,79,0,5.943433544303797,6.25,0.5842999815940857,0.3452000021934509,0.44449999928474426,0.43549999594688416,0.47033227848101267,0.5292999744415283,0.44373022151898733,0.5038999915122986
convnext_tiny+deit_small,zoom_blur,5,10000,79,0.43478260869565216,0.5652173913043478,30,39,10,7.090585443037975,7.03125,0.6348999738693237,0.28200000524520874,0.28700000047683716,0.31779998540878296,0.3362341772151899,0.3885999917984009,0.2979628164556962,0.36739999055862427
convnext_tiny+deit_small,ALL,-,150000,1185,0.10218340611353711,0.8978165938864628,117,1028,40,5.4291930379746836,5.46875,0.6309933324654897,0.2939400022228559,0.38185333609580996,0.37027333478132884,0.4095002637130802,0.4616733342409134,0.3838673523206751,0.4385399987300237
resnet50+deit_small,brightness,5,10000,79,0.7534246575342466,0.2465753424657534,55,18,6,7.327927215189874,7.03125,0.30630001425743103,0.7123000025749207,0.6881999969482422,0.6881999969482422,0.7173655063291139,0.7904000282287598,0.7173655063291139,0.7904000282287598
resnet50+deit_small,contrast,5,10000,79,0.0,1.0,0,79,0,6.655458860759493,6.25,0.8116000294685364,0.2240000069141388,0.39480000734329224,0.39480000734329224,0.39527294303797467,0.46209999918937683,0.39527294303797467,0.46209999918937683
resnet50+deit_small,defocus_blur,5,10000,79,0.0,1.0,0,79,0,6.2796677215189876,6.25,0.885200023651123,0.14710000157356262,0.26899999380111694,0.26899999380111694,0.26878955696202533,0.3310999870300293,0.26878955696202533,0.3310999870300293
