global_idx,corruption,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
19,brightness/s5,0.609375,1.827248454093933,3.8608670234680176,0.71015625,1.5689757823944093,3.6865033507347107
20,brightness/s5,0.765625,1.438686728477478,3.543853282928467,0.7127976190476191,1.562771541731698,3.679710490362985
21,brightness/s5,0.75,1.2637790441513062,3.2706072330474854,0.7144886363636364,1.549180973659862,3.661114887757735
22,brightness/s5,0.71875,1.2766926288604736,3.019904375076294,0.7146739130434783,1.5373336543207583,3.6332361698150635
23,brightness/s5,0.75,1.3398239612579346,3.132211923599243,0.7161458333333334,1.529104083776474,3.612360159556071
24,brightness/s5,0.8125,1.1097420454025269,2.831017255783081,0.72,1.512329602241516,3.5811064434051514
25,brightness/s5,0.671875,1.6215623617172241,3.843893051147461,0.7181490384615384,1.5165308622213511,3.5912136206260095
26,brightness/s5,0.734375,1.4145755767822266,3.5083398818969727,0.71875,1.5127547405384205,3.588144222895304
27,brightness/s5,0.703125,1.564086675643921,3.7503323554992676,0.7181919642857143,1.5145880239350455,3.593936656202589
28,brightness/s5,0.765625,1.5142029523849487,3.8372936248779297,0.7198275862068966,1.514574745605732,3.6023282758120834
29,brightness/s5,0.671875,1.5904685258865356,3.830448627471924,0.7182291666666667,1.5171045382817587,3.609932287534078
30,brightness/s5,0.65625,1.8367161750793457,3.774414539337158,0.7162298387096774,1.5274145910816808,3.6152381666244997
31,brightness/s5,0.734375,1.550187110900879,3.587879180908203,0.716796875,1.5281262323260307,3.6143831983208656
32,brightness/s5,0.671875,1.3722283840179443,3.087038516998291,0.7154356060606061,1.5234020551045735,3.598403056462606
33,brightness/s5,0.734375,1.3272005319595337,2.82584547996521,0.7159926470588235,1.517631422070896,3.575680774800918
34,brightness/s5,0.640625,1.724562406539917,3.7533044815063477,0.7138392857142857,1.5235437359128678,3.5807557378496444
35,brightness/s5,0.609375,1.9541009664535522,3.589293956756592,0.7109375,1.5355036589834425,3.5809929105970593
36,brightness/s5,0.6875,1.761550784111023,4.041898727416992,0.7103040540540541,1.5416130407436475,3.5934498245651656
37,brightness/s5,0.671875,1.542607069015503,3.319146156311035,0.7092927631578947,1.5416391993823804,3.586231306979531
38,brightness/s5,0.703125,1.6737843751907349,3.709331750869751,0.7091346153846154,1.5450275372236202,3.5893877286177416
39,brightness/s5,0.5,3.122401714324951,6.107119560241699,0.70390625,1.5844618916511535,3.6523310244083405
40,fog/s5,0.6875,2.565300464630127,5.520472049713135,0.6875,2.565300464630127,5.520472049713135
41,fog/s5,0.625,2.8488032817840576,5.634458541870117,0.65625,2.7070518732070923,5.577465295791626
42,fog/s5,0.59375,2.845087766647339,5.481273651123047,0.6354166666666666,2.7530638376871743,5.545401414235433
43,fog/s5,0.609375,2.7584447860717773,5.533237457275391,0.62890625,2.754409074783325,5.542360424995422
44,fog/s5,0.671875,2.620657205581665,5.416210174560547,0.6375,2.7276587009429933,5.517130374908447
45,fog/s5,0.59375,2.732123851776123,5.784275531768799,0.6302083333333334,2.7284028927485147,5.561654567718506
46,fog/s5,0.640625,2.7974321842193604,5.551482677459717,0.6316964285714286,2.7382642201014926,5.560201440538679
47,fog/s5,0.4375,3.4296176433563232,5.838361740112305,0.607421875,2.8246833980083466,5.594971477985382
48,fog/s5,0.625,2.8160173892974854,5.729473114013672,0.609375,2.823720508151584,5.609916104210748
49,fog/s5,0.53125,2.7209811210632324,5.551912784576416,0.6015625,2.813446569442749,5.604115772247314
50,fog/s5,0.484375,3.012019395828247,5.635738372802734,0.5909090909090909,2.8314986445687036,5.606990554115989
51,fog/s5,0.625,2.6885972023010254,5.658374786376953,0.59375,2.8195901910463967,5.611272573471069
52,fog/s5,0.546875,3.030385971069336,5.688297271728516,0.5901442307692307,2.8358052510481615,5.617197550260103
53,fog/s5,0.59375,2.7196781635284424,5.3720502853393555,0.5904017857142857,2.8275104590824673,5.599687031337193
