corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
impulse_noise/s5,3316,0.08830069750547409,0.6167796850204468,0.08830069750547409,0.6167796850204468,-2.3342373280973536,0.47858752946347605,0.49296835064888,0.50703164935112,0.0,0.484375,0.0078125,128
impulse_noise/s5,3317,0.08837305754423141,0.5839581489562988,0.08837305754423141,0.5839581489562988,-2.3339505179418354,0.4088154941531166,0.4931435286998749,0.5068564713001251,0.0078125,0.4375,0.03125,128
impulse_noise/s5,3318,0.08833499997854233,0.6133302450180054,0.08833499997854233,0.6133302450180054,-2.3340433555881885,0.4350740191779131,0.49307766556739807,0.5069223344326019,0.0,0.4375,0.0078125,128
impulse_noise/s5,3319,0.08832599967718124,0.5826902389526367,0.08832599967718124,0.5826902389526367,-2.3341456573122565,0.3844504817459905,0.49320393800735474,0.5067960619926453,0.0,0.4609375,0.015625,128
impulse_noise/s5,3320,0.0883055031299591,0.620011031627655,0.0883055031299591,0.620011031627655,-2.3343240904975495,0.4370227654373613,0.4930720925331116,0.5069279074668884,0.0,0.390625,0.015625,128
impulse_noise/s5,3321,0.08832830935716629,0.6005112528800964,0.08832830935716629,0.6005112528800964,-2.3342716834657677,0.42230927428293985,0.49310895800590515,0.5068910419940948,0.0,0.375,0.0,128
impulse_noise/s5,3322,0.0883159413933754,0.6576049327850342,0.0883159413933754,0.6576049327850342,-2.3343222792537786,0.537474190762549,0.49282100796699524,0.5071789920330048,0.0,0.484375,0.0078125,128
impulse_noise/s5,3323,0.08836447447538376,0.6084887981414795,0.08836447447538376,0.6084887981414795,-2.3340462649818052,0.4892192831816329,0.49294230341911316,0.5070576965808868,0.0,0.4140625,0.015625,128
impulse_noise/s5,3324,0.08829504996538162,0.6078694462776184,0.08829504996538162,0.6078694462776184,-2.3343393181285665,0.4637922930101557,0.49300509691238403,0.506994903087616,0.0,0.421875,0.0078125,128
impulse_noise/s5,3325,0.08834685385227203,0.6155515909194946,0.08834685385227203,0.6155515909194946,-2.334164162785914,0.4672507256752463,0.4929969310760498,0.5070030689239502,0.0,0.4296875,0.0078125,128
impulse_noise/s5,3326,0.08831659704446793,0.605778694152832,0.08831659704446793,0.605778694152832,-2.334264447381649,0.44842650615124147,0.4930436909198761,0.5069563090801239,0.0,0.4296875,0.0,128
