global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
7648,jpeg_compression/s5,64,0.703125,1.236422061920166,1.4551961421966553,0.6150521685761048,1.6871650966216616,1.858073720565209,0.65625,1.5796211957931519,1.2103919982910156,0.5846460720130933,1.8901423014907712,1.6886781433600255,0.6875,1.5085774660110474,0.4674002230167389,0.6346153846153846,1.8222550314694106,0.6725362176395672,0.35600951313972473,0.71875,0.71875,0.71875
7649,jpeg_compression/s5,64,0.6875,1.3069853782653809,1.2880463600158691,0.6151705473856209,1.686543887931537,1.8571423033094094,0.59375,1.7962746620178223,1.2440752983093262,0.5846609477124183,1.8899889229949003,1.6879516681230147,0.671875,1.6152220964431763,0.5830486416816711,0.6346762663398693,1.8219167423598908,0.6723899961102242,0.4028121829032898,0.703125,0.71875,0.703125
7650,jpeg_compression/s5,64,0.59375,1.6206731796264648,1.4826784133911133,0.6151356035889071,1.6864364316374014,1.8565314323633764,0.65625,1.6122435331344604,1.0823813676834106,0.5847777324632952,1.889535831004916,1.6869637883506825,0.65625,1.6845265626907349,0.5186119079589844,0.6347114600326265,1.8216926148237256,0.6721391346287378,0.4028121829032898,0.671875,0.65625,0.671875
7651,jpeg_compression/s5,64,0.578125,1.5656973123550415,1.3894710540771484,0.615075325732899,1.686239788120655,1.855770747708187,0.59375,1.8021420240402222,1.2531009912490845,0.584792345276873,1.8893934958144196,1.6862571714172923,0.625,1.8919068574905396,0.5421617031097412,0.6346956433224755,1.8218069702678084,0.6719274450008567,0.34557682275772095,0.59375,0.59375,0.59375
7652,jpeg_compression/s5,64,0.734375,1.2139720916748047,1.4020476341247559,0.6152693089430894,1.6854718731670846,1.8550329865478887,0.640625,1.7774285078048706,1.3578779697418213,0.5848831300813008,1.8892114389233472,1.6857232214958686,0.6875,1.6563234329223633,0.5428622961044312,0.6347815040650406,1.8215378913452955,0.6717175829701307,0.34557682275772095,0.703125,0.703125,0.703125
7653,jpeg_compression/s5,64,0.671875,1.226109266281128,1.2828279733657837,0.6153612012987013,1.6847261546494126,1.85410408230571,0.609375,1.5889140367507935,1.2120497226715088,0.5849228896103896,1.8887239431405995,1.6849542710107643,0.640625,1.4087821245193481,0.5529521107673645,0.6347909902597403,1.8208678332822663,0.6715247818788925,0.3903164267539978,0.640625,0.65625,0.640625
7654,jpeg_compression/s5,64,0.640625,1.5326261520385742,1.7334922552108765,0.6154021474878444,1.6844796392480983,1.853908601224519,0.671875,1.4927983283996582,1.0230666399002075,0.5850638168557536,1.8880822484651687,1.6838815195827082,0.71875,1.5266634225845337,0.4666992127895355,0.6349270664505673,1.8203910027949117,0.6711928117507088,0.3903164267539978,0.75,0.765625,0.75
7655,jpeg_compression/s5,64,0.734375,1.0844688415527344,1.33005690574646,0.6155946601941747,1.6835087479896915,1.8530609447593442,0.6875,1.2209625244140625,1.1176954507827759,0.585229571197411,1.8870027667110405,1.6829653608953297,0.71875,1.1546616554260254,0.5801294445991516,0.6350627022653722,1.8193137708412406,0.6710454600239263,0.2926715910434723,0.765625,0.765625,0.765625
7656,jpeg_compression/s5,64,0.640625,1.4784843921661377,1.4467339515686035,0.6156350969305331,1.683177529321156,1.8524045198915078,0.625,1.6890430450439453,1.2731120586395264,0.5852938206785138,1.8866829610217561,1.6823032392438664,0.671875,1.7417970895767212,0.49911123514175415,0.6351221728594507,1.819188541953899,0.6707676987559422,0.2926715910434723,0.6875,0.6875,0.6875
7657,jpeg_compression/s5,64,0.625,1.2864022254943848,1.4652372598648071,0.6156502016129032,1.6825375691536935,1.851780056568884,0.59375,1.8330508470535278,1.183262825012207,0.5853074596774194,1.88659645761213,1.6814983353499444,0.65625,1.7509113550186157,0.5711346864700317,0.63515625,1.819078417458842,0.6706070003490294,0.3270985186100006,0.671875,0.671875,0.671875
7658,jpeg_compression/s5,64,0.671875,1.3651342391967773,1.4866881370544434,0.6157407407407407,1.6820264526803328,1.851192146875624,0.640625,1.6720213890075684,1.3855366706848145,0.58539653784219,1.8862509261006895,1.6810217465179553,0.640625,1.5442755222320557,0.6404649615287781,0.6351650563607085,1.8186359007193462,0.6705584624443269,0.3270985186100006,0.671875,0.671875,0.671875
7659,jpeg_compression/s5,64,0.734375,0.9739861488342285,1.195117473602295,0.6159314710610932,1.6808881242175577,1.8501373644427088,0.640625,1.3654145002365112,1.1004724502563477,0.5854853295819936,1.885413568502837,1.6800883875207502,0.765625,1.0958924293518066,0.46949702501296997,0.6353747990353698,1.8174739337235786,0.6702352125449196,0.4033886790275574,0.765625,0.765625,0.765625
7660,jpeg_compression/s5,64,0.546875,1.6643630266189575,1.504931926727295,0.6158206260032103,1.6808615991812839,1.8495832626165203,0.515625,1.8027976751327515,1.245800256729126,0.5853731942215088,1.8852809587221466,1.679391295818035,0.5625,1.7272958755493164,0.5976836085319519,0.6352578250401284,1.8173291856366214,0.6701187573217848,0.4033886790275574,0.578125,0.578125,0.578125
7661,jpeg_compression/s5,64,0.640625,1.228934407234192,1.2532167434692383,0.6158603766025641,1.680137356886497,1.8486275470409639,0.609375,1.6816189289093018,1.043129563331604,0.5854116586538461,1.8849545772641132,1.678371645605717,0.671875,1.6280803680419922,0.4156542420387268,0.6353165064102564,1.8170259022750916,0.6697109616242158,0.36617252230644226,0.671875,0.6875,0.671875
7662,jpeg_compression/s5,64,0.546875,1.984791874885559,1.761932134628296,0.61575,1.6806248041152954,1.8484888343811035,0.53125,1.986696481704712,1.5884108543395996,0.585325,1.8851173643112182,1.6782277083396913,0.5625,2.04070782661438,0.7921274304389954,0.6352,1.8173837933540344,0.6699068279743194,0.36617252230644226,0.578125,0.578125,0.578125
7663,jpeg_compression/s5,64,0.703125,1.3438575267791748,1.228175163269043,0.6158895766773163,1.6800868372185924,1.8474979179735762,0.546875,1.7815099954605103,1.3128108978271484,0.5852635782747604,1.8849518573322235,1.6776439754155497,0.671875,1.5128443241119385,0.6454027891159058,0.6352585862619808,1.8168973085788873,0.6698676841422773,0.43454334139823914,0.671875,0.671875,0.671875
7664,jpeg_compression/s5,64,0.5625,1.7453407049179077,1.469588041305542,0.6158044258373205,1.6801909103728176,1.8468951908975506,0.515625,2.0034265518188477,1.4245030879974365,0.5851525119617225,1.8851408121878641,1.6772402419427936,0.5625,1.9654208421707153,0.6598920226097107,0.6351425438596491,1.8171341882177898,0.6698517739962923,0.43454334139823914,0.5625,0.5625,0.5625
7665,jpeg_compression/s5,64,0.609375,1.642207384109497,1.60239577293396,0.6157941878980892,1.6801304270507424,1.846505860614169,0.546875,1.7741014957427979,1.4064581394195557,0.5850915605095541,1.884963997989703,1.6768090602508776,0.640625,1.6075124740600586,0.7507598400115967,0.6351512738853503,1.816800395679322,0.6699806084963167,0.4404597878456116,0.609375,0.609375,0.609375
7666,jpeg_compression/s5,64,0.53125,1.915101408958435,1.794025182723999,0.6156597774244833,1.6805039898200709,1.8464224255141848,0.53125,2.166090250015259,1.7040131092071533,0.5850059618441972,1.8854109395668504,1.6768523099312531,0.546875,2.1599924564361572,0.7315163016319275,0.6350109300476947,1.817346011038236,0.6700784394869933,0.4404597878456116,0.53125,0.53125,0.53125
7667,jpeg_compression/s5,64,0.609375,1.7886403799057007,1.2945683002471924,0.6156498015873015,1.6806756348836989,1.8455464665851895,0.546875,2.1007091999053955,1.1986056566238403,0.5849454365079365,1.8857526828372289,1.6760931882593366,0.625,2.1727209091186523,0.5029839873313904,0.6349950396825397,1.817910098178046,0.6698132101978574,0.4655649960041046,0.609375,0.609375,0.609375
7668,jpeg_compression/s5,64,0.5625,2.0080530643463135,1.2970530986785889,0.6155655705229794,1.6811944580682674,1.844677221945084,0.609375,2.1041905879974365,1.273322343826294,0.5849841521394612,1.8860988601829662,1.6754548826421687,0.625,2.398653030395508,0.536219596862793,0.6349791996830428,1.8188304514779152,0.6696014929025562,0.4655649960041046,0.625,0.625,0.625
