corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run
brightness/s5,0.5641025641025641,0.8538719415664673,0.723433256149292,0.7164930555555555,0.7246527777777778,0.7171875
brightness/s5,0.5769230769230769,0.8499529361724854,0.6801038980484009,0.7151834239130435,0.7235054347826086,0.7158627717391305
brightness/s5,0.5897435897435898,0.8722459077835083,0.7058237195014954,0.7152593085106383,0.7244015957446809,0.7159242021276596
brightness/s5,0.6025641025641025,0.8256592154502869,0.7196241617202759,0.7150065104166666,0.7247721354166666,0.7156575520833334
brightness/s5,0.6153846153846154,0.846577525138855,0.7386640906333923,0.7158801020408163,0.7260841836734694,0.7165178571428571
brightness/s5,0.6282051282051282,0.8475210070610046,0.6958141326904297,0.715625,0.72609375,0.71625
brightness/s5,0.6410256410256411,0.8626011610031128,0.6992042064666748,0.7143075980392157,0.7244178921568627,0.7149203431372549
brightness/s5,0.6538461538461539,0.8582683205604553,0.725272536277771,0.7142427884615384,0.7253605769230769,0.7149939903846154
brightness/s5,0.6666666666666666,0.8757120370864868,0.7513278126716614,0.7131485849056604,0.7250884433962265,0.7138856132075472
brightness/s5,0.6794871794871795,0.8593952655792236,0.746907651424408,0.7122395833333334,0.7248263888888888,0.7129629629629629
brightness/s5,0.6923076923076923,0.8714125156402588,0.7506306171417236,0.7120738636363636,0.7248579545454545,0.7129261363636363
brightness/s5,0.7051282051282052,0.8432549238204956,0.7315418720245361,0.7109375,0.7244698660714286,0.7117745535714286
brightness/s5,0.717948717948718,0.8325194120407104,0.6971527338027954,0.7081962719298246,0.721765350877193,0.7090186403508771
brightness/s5,0.7307692307692307,0.84577476978302,0.7489213943481445,0.7071659482758621,0.7223868534482759,0.7082435344827587
brightness/s5,0.7435897435897436,0.8663667440414429,0.801264762878418,0.7086864406779662,0.723781779661017,0.7098781779661016
brightness/s5,0.7564102564102564,0.8636008501052856,0.7413460612297058,0.708984375,0.7239583333333334,0.71015625
brightness/s5,0.7692307692307693,0.8535728454589844,0.7356916666030884,0.7085040983606558,0.7246413934426229,0.709656762295082
brightness/s5,0.782051282051282,0.8789023160934448,0.7565739750862122,0.7077872983870968,0.7247983870967742,0.7089213709677419
brightness/s5,0.7948717948717948,0.8605507612228394,0.7534301280975342,0.7074652777777778,0.7249503968253969,0.7087053571428571
brightness/s5,0.8076923076923077,0.8621499538421631,0.7153255939483643,0.707275390625,0.724365234375,0.70849609375
brightness/s5,0.8205128205128205,0.849959135055542,0.7201581001281738,0.7057692307692308,0.7245192307692307,0.7072115384615385
brightness/s5,0.8333333333333334,0.8705415725708008,0.7582238912582397,0.7057291666666666,0.724313446969697,0.7072679924242424
brightness/s5,0.8461538461538461,0.8857342004776001,0.7820820212364197,0.7062733208955224,0.7246968283582089,0.7079057835820896
brightness/s5,0.8589743589743589,0.8815354108810425,0.7461543679237366,0.7058823529411765,0.7252987132352942,0.7074908088235294
brightness/s5,0.8717948717948718,0.8544049859046936,0.7314000129699707,0.7055027173913043,0.7242980072463768,0.7070878623188406
brightness/s5,0.8846153846153846,0.8464789390563965,0.7226555347442627,0.7050223214285715,0.7241071428571428,0.7066964285714286
brightness/s5,0.8974358974358975,0.866399884223938,0.7367272973060608,0.7040052816901409,0.7232614436619719,0.7057658450704225
brightness/s5,0.9102564102564102,0.8800290822982788,0.7599824666976929,0.7035590277777778,0.7238498263888888,0.7052951388888888
brightness/s5,0.9230769230769231,0.8518320918083191,0.7567203044891357,0.7023758561643836,0.7237799657534246,0.7044092465753424
brightness/s5,0.9358974358974359,0.8923286199569702,0.7590292692184448,0.7018581081081081,0.7238175675675675,0.7038640202702703
brightness/s5,0.9487179487179487,0.8280766010284424,0.7123367786407471,0.7003125,0.7227083333333333,0.7022916666666666
brightness/s5,0.9615384615384616,0.880649209022522,0.7541887760162354,0.7003495065789473,0.7221422697368421,0.7025082236842105
brightness/s5,0.9743589743589743,0.8831203579902649,0.7676469087600708,0.6999797077922078,0.7226055194805194,0.7022118506493507
brightness/s5,0.9871794871794872,0.8811618089675903,0.8332970142364502,0.6998197115384616,0.7228565705128205,0.7021233974358975
brightness/s5,1.0,0.9362058639526367,0.6177653074264526,0.7004549050632911,0.7216178797468354,0.7027294303797469
