corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run
fog/s5,0.3333333333333333,0.08838167786598206,0.3188309073448181,0.1412037037037037,0.6099537037037037,0.5159143518518519
fog/s5,0.34615384615384615,0.08838319778442383,0.3156143128871918,0.13616071428571427,0.6085379464285714,0.5178571428571429
fog/s5,0.358974358974359,0.08838282525539398,0.3028832674026489,0.1314655172413793,0.6080280172413793,0.5204741379310345
fog/s5,0.3717948717948718,0.08838415890932083,0.3739679455757141,0.12708333333333333,0.6088541666666667,0.52421875
fog/s5,0.38461538461538464,0.08838442713022232,0.3613150715827942,0.12298387096774194,0.6106350806451613,0.5287298387096774
fog/s5,0.3974358974358974,0.08838467299938202,0.3901088833808899,0.119140625,0.611328125,0.531982421875
fog/s5,0.41025641025641024,0.08838389813899994,0.3313409984111786,0.11553030303030302,0.6136363636363636,0.5366950757575758
fog/s5,0.4230769230769231,0.0883849561214447,0.31713443994522095,0.11213235294117647,0.6125919117647058,0.5379136029411765
fog/s5,0.4358974358974359,0.08838512003421783,0.3476785123348236,0.10892857142857143,0.6129464285714286,0.5404017857142858
fog/s5,0.44871794871794873,0.08838487416505814,0.40104931592941284,0.10590277777777778,0.6130642361111112,0.5425347222222222
fog/s5,0.46153846153846156,0.08838514238595963,0.3884950876235962,0.10304054054054054,0.6133868243243243,0.5447635135135135
fog/s5,0.47435897435897434,0.08838526159524918,0.3646411597728729,0.10053453947368421,0.612047697368421,0.5452302631578947
fog/s5,0.48717948717948717,0.0883856862783432,0.3912914991378784,0.09795673076923077,0.6107772435897436,0.5456730769230769
fog/s5,0.5,0.08838583528995514,0.3980955481529236,0.0955078125,0.6103515625,0.546875
fog/s5,0.5128205128205128,0.08838609606027603,0.420271098613739,0.09317835365853659,0.6088033536585366,0.546875
fog/s5,0.5256410256410257,0.08838628232479095,0.48125869035720825,0.09095982142857142,0.6104910714285714,0.5500372023809523
fog/s5,0.5384615384615384,0.08838595449924469,0.4015578627586365,0.08884447674418605,0.6095566860465116,0.5505087209302325
fog/s5,0.5512820512820513,0.08838614076375961,0.4673979878425598,0.08682528409090909,0.6106178977272727,0.5529119318181818
fog/s5,0.5641025641025641,0.08838611841201782,0.49113306403160095,0.08489583333333334,0.6112847222222222,0.5548611111111111
fog/s5,0.5769230769230769,0.08838597685098648,0.40358394384384155,0.08305027173913043,0.6102241847826086,0.5550271739130435
fog/s5,0.5897435897435898,0.08838597685098648,0.4447532892227173,0.08144946808510638,0.6102061170212766,0.5561835106382979
fog/s5,0.6025641025641025,0.0883856862783432,0.5073432922363281,0.07991536458333333,0.61083984375,0.5579427083333334
fog/s5,0.6153846153846154,0.08838606625795364,0.45815739035606384,0.07828443877551021,0.6112882653061225,0.5594706632653061
fog/s5,0.6282051282051282,0.0883864015340805,0.5073560476303101,0.076875,0.61140625,0.560625
fog/s5,0.6410256410256411,0.08838638663291931,0.4335351586341858,0.07536764705882353,0.608609068627451,0.5588235294117647
fog/s5,0.6538461538461539,0.08838595449924469,0.49031245708465576,0.07391826923076923,0.6095252403846154,0.5606971153846154
fog/s5,0.6666666666666666,0.08838637173175812,0.520733118057251,0.07252358490566038,0.6096698113207547,0.5617629716981132
fog/s5,0.6794871794871795,0.08838605135679245,0.5150724649429321,0.07118055555555555,0.6092303240740741,0.5622106481481481
fog/s5,0.6923076923076923,0.0883861556649208,0.5176262855529785,0.06988636363636364,0.6090909090909091,0.5629261363636363
fog/s5,0.7051282051282052,0.08838603645563126,0.5086115002632141,0.06863839285714286,0.6085379464285714,0.5631975446428571
fog/s5,0.717948717948718,0.08838608115911484,0.45765772461891174,0.06743421052631579,0.6073190789473685,0.5627741228070176
fog/s5,0.7307692307692307,0.08838532865047455,0.5466835498809814,0.06627155172413793,0.6088362068965517,0.5650592672413793
fog/s5,0.7435897435897436,0.08838643878698349,0.5632270574569702,0.06514830508474577,0.6099046610169492,0.5668697033898306
fog/s5,0.7564102564102564,0.08838623017072678,0.547650933265686,0.0640625,0.6111979166666667,0.5688802083333333
fog/s5,0.7692307692307693,0.08838639408349991,0.5233231782913208,0.0630122950819672,0.6114241803278688,0.5698002049180327
fog/s5,0.782051282051282,0.08838632702827454,0.5877645015716553,0.061995967741935484,0.6110131048387096,0.5700604838709677
fog/s5,0.7948717948717948,0.08838646113872528,0.5206180810928345,0.06101190476190476,0.6106150793650794,0.5703125
fog/s5,0.8076923076923077,0.08838607370853424,0.550823450088501,0.06005859375,0.6103515625,0.5706787109375
fog/s5,0.8205128205128205,0.08838605880737305,0.5572372674942017,0.05913461538461538,0.6106971153846154,0.5716346153846154
fog/s5,0.8333333333333334,0.08838541060686111,0.5937709808349609,0.05823863636363636,0.6104403409090909,0.571969696969697
fog/s5,0.8461538461538461,0.08838628977537155,0.5853203535079956,0.057369402985074626,0.6111240671641791,0.5732276119402985
fog/s5,0.8589743589743589,0.08838681131601334,0.5810866951942444,0.05652573529411765,0.6115579044117647,0.57421875
fog/s5,0.8717948717948718,0.08838661015033722,0.5836597681045532,0.05570652173913043,0.6117527173913043,0.5749547101449275
fog/s5,0.8846153846153846,0.08838609606027603,0.5358760356903076,0.05502232142857143,0.6111607142857143,0.5748883928571429
fog/s5,0.8974358974358975,0.08838634938001633,0.5510647892951965,0.05435739436619718,0.6108054577464789,0.575044014084507
fog/s5,0.9102564102564102,0.0883864015340805,0.6390708684921265,0.05360243055555555,0.6123046875,0.5770399305555556
fog/s5,0.9230769230769231,0.0883861556649208,0.610292375087738,0.05286815068493151,0.6129066780821918,0.578125
fog/s5,0.9358974358974359,0.08838607370853424,0.6005456447601318,0.052153716216216214,0.6128589527027027,0.5785472972972973
fog/s5,0.9487179487179487,0.08838601410388947,0.6026070713996887,0.0515625,0.6123958333333334,0.5785416666666666
fog/s5,0.9615384615384616,0.08838661760091782,0.6232871413230896,0.05088404605263158,0.6121504934210527,0.5787417763157895
fog/s5,0.9743589743589743,0.08838587999343872,0.6196343898773193,0.05022321428571429,0.6129261363636364,0.5799512987012987
fog/s5,0.9871794871794872,0.08838620781898499,0.6604257822036743,0.04957932692307692,0.6134815705128205,0.5809294871794872
fog/s5,1.0,0.24999798834323883,0.31949371099472046,0.04895174050632911,0.6136273734177216,0.5814873417721519
