global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_nuclear_norm_identity_pbs128_acc
8981,pixelate/s5,64.0,0.6875,1.9029861688613892,0.9302853941917419,0.5900082236842106,1.9449179630530509,1.5451364402708254,0.390625,2.465718984603882,2.517876625061035,0.4906661184210526,2.614713596042834,3.779406054710087,0.6875,2.7928338050842285,0.30356061458587646,0.5913651315789473,2.6387295741783947,0.4703401584766413,0.9765014052391052,0.609375,0.671875
8982,pixelate/s5,64.0,0.625,1.6961833238601685,1.0036512613296509,0.590100065616798,1.9442651162310223,1.5437152193287227,0.40625,2.5248918533325195,2.2588114738464355,0.4904445538057743,2.614477843437295,3.7754149928180563,0.625,2.400172710418701,0.3626917898654938,0.5914534120734908,2.638103440677713,0.4700576168267433,0.9765014052391052,0.640625,0.625
8983,pixelate/s5,64.0,0.671875,1.1603680849075317,1.0815026760101318,0.5903141361256544,1.942213029761589,1.542505238848831,0.59375,1.3228825330734253,1.8045759201049805,0.49071498691099474,2.6110967038813686,3.7702557282298024,0.6875,1.4467731714248657,0.41722744703292847,0.5917048429319371,2.6349847750513966,0.46991931795293745,0.9755492806434631,0.734375,0.71875
8984,pixelate/s5,64.0,0.53125,1.7994894981384277,1.1247754096984863,0.5901599216710183,1.9418403834649227,1.5414145604437388,0.46875,2.1793038845062256,1.9525954723358154,0.490657637075718,2.6099693074861334,3.7655098789977033,0.53125,2.504477024078369,0.4328041970729828,0.5915469973890339,2.634644023743373,0.4698224116321021,0.9755492806434631,0.640625,0.609375
8985,pixelate/s5,64.0,0.625,1.6937317848205566,1.1091666221618652,0.5902506510416666,1.9411942673226197,1.5402889147711296,0.5,2.2961056232452393,2.0691003799438477,0.4906819661458333,2.609151954141756,3.7610921459272504,0.609375,2.2973644733428955,0.3932079076766968,0.5915934244791666,2.6337656915808716,0.46962289469471824,0.962108314037323,0.625,0.625
8986,pixelate/s5,64.0,0.671875,1.9154152870178223,0.9165717363357544,0.5904626623376623,1.9411273089322176,1.538668870151817,0.484375,2.4479150772094727,2.214897632598877,0.4906655844155844,2.608733157058815,3.7570760562822416,0.671875,2.7539076805114746,0.32656049728393555,0.5918019480519481,2.634077748694977,0.4692513040520928,0.962108314037323,0.609375,0.640625
8987,pixelate/s5,64.0,0.625,1.434545874595642,1.1515257358551025,0.5905521373056994,1.9398149217966307,1.5376659086640017,0.546875,1.844109058380127,1.8304924964904785,0.49081120466321243,2.606752265611461,3.75208490716361,0.625,1.8660712242126465,0.4203217029571533,0.5918879533678757,2.6320880944864737,0.46912454342749454,0.9622284770011902,0.640625,0.625
8988,pixelate/s5,64.0,0.671875,1.5198835134506226,0.8410038352012634,0.5907622739018088,1.9387298277182172,1.5358657482674571,0.5625,1.8844047784805298,1.6129875183105469,0.49099644702842377,2.6048857346369623,3.7465575237298814,0.671875,2.162501096725464,0.2559071183204651,0.5920946382428941,2.630874691391484,0.4685735940086133,0.9622284770011902,0.6875,0.6875
8989,pixelate/s5,64.0,0.59375,1.8316236734390259,1.0015617609024048,0.5907699742268041,1.9384537809288378,1.534488676135073,0.59375,1.9918184280395508,1.4899744987487793,0.4912612757731959,2.6033056642591337,3.7407415880984867,0.625,2.5378005504608154,0.3719189763069153,0.5921794458762887,2.630634809584962,0.46832448416917594,0.9420633912086487,0.671875,0.65625
8990,pixelate/s5,64.0,0.625,1.3527345657348633,1.074233055114746,0.590857969151671,1.93694807600546,1.5333054997314217,0.5625,1.909833312034607,2.2376956939697266,0.4914444087403599,2.6015229589834923,3.7368777169053535,0.625,1.7404035329818726,0.3679397404193878,0.5922638174807198,2.6283462973057765,0.46806642570195284,0.9420633912086487,0.6875,0.6875
8991,pixelate/s5,64.0,0.703125,1.5310678482055664,0.8833854794502258,0.5911458333333334,1.9359073574726398,1.5316390381409573,0.546875,1.916100263595581,1.8507261276245117,0.49158653846153844,2.599765464892754,3.7320414307789926,0.703125,2.1449198722839355,0.28102511167526245,0.5925480769230769,2.627106742369823,0.4675868325890639,0.9574977159500122,0.671875,0.703125
8992,pixelate/s5,64.0,0.640625,1.5312970876693726,0.9780693650245667,0.5912723785166241,1.9348725485984626,1.5302232589258258,0.515625,2.150813341140747,1.995125651359558,0.4916480179028133,2.5986172497424933,3.72759919093393,0.65625,2.11171555519104,0.30116820335388184,0.5927109974424553,2.625788606341233,0.4671612094963908,0.9574977159500122,0.671875,0.65625
8993,pixelate/s5,64.0,0.59375,1.772022008895874,1.1041553020477295,0.5912786989795918,1.934457113548201,1.5291363508725653,0.453125,2.1642518043518066,2.0211057662963867,0.49154974489795916,2.5975091746267007,3.7232458913812834,0.59375,2.4217288494110107,0.37948060035705566,0.5927136479591837,2.625268045736819,0.4669375344730762,0.9607391357421875,0.65625,0.59375
8994,pixelate/s5,64.0,0.671875,1.3516275882720947,0.7963570356369019,0.5914837786259542,1.9329740867663279,1.5272717724622964,0.671875,1.2923226356506348,1.3730132579803467,0.49200858778625955,2.5941880892857947,3.717265655672884,0.6875,1.8714340925216675,0.29553985595703125,0.592954834605598,2.6233498931841086,0.4665014080646384,0.9607391357421875,0.6875,0.6875
8995,pixelate/s5,64.0,0.578125,1.7075700759887695,1.1149530410766602,0.5914498730964467,1.9324019953684153,1.5262252782202008,0.53125,2.0942835807800293,2.226365089416504,0.4921081852791878,2.5929192961169982,3.7134816440834006,0.59375,2.294255495071411,0.4107722043991089,0.5929568527918782,2.6225146282142795,0.46635996338528424,0.9477050304412842,0.640625,0.65625
8996,pixelate/s5,64.0,0.640625,1.330315351486206,0.9162254929542542,0.5915743670886076,1.9308777253839033,1.524680974966363,0.625,1.5307732820510864,1.7392196655273438,0.49244462025316454,2.5902303188661984,3.7084835124921196,0.640625,1.7832534313201904,0.28651851415634155,0.5930775316455696,2.620389916323408,0.4659046685771097,0.9477050304412842,0.703125,0.671875
8997,pixelate/s5,64.0,0.515625,1.9537527561187744,1.1759016513824463,0.5913825757575758,1.9309354906130318,1.523800219098727,0.5,2.157374143600464,1.9223134517669678,0.4924636994949495,2.5891372477165375,3.7039729820357428,0.53125,2.679983139038086,0.427497923374176,0.5929214015151515,2.6205404042595566,0.46580768184679927,0.9390532970428467,0.5625,0.546875
8998,pixelate/s5,64.0,0.59375,2.016392230987549,0.906166672706604,0.5913885390428212,1.9311507468860156,1.5222444670927013,0.546875,1.9895668029785156,1.6183125972747803,0.4926007556675063,2.5876269947071218,3.698719429429292,0.59375,2.869124174118042,0.309795618057251,0.5929234886649875,2.6211665598511398,0.4654147043561455,0.9390532970428467,0.546875,0.5625
8999,pixelate/s5,64.0,0.6875,1.6024612188339233,0.9558969736099243,0.5916300251256281,1.9303248938004576,1.5208214834407345,0.609375,2.025953531265259,1.846010446548462,0.4928941582914573,2.5862157548492277,3.6940643817336114,0.6875,2.2216475009918213,0.3136470913887024,0.5931611180904522,2.6201627431203374,0.46503337869542327,0.9484310746192932,0.734375,0.6875
9000,pixelate/s5,64.0,0.625,1.996954083442688,1.081041693687439,0.5917136591478697,1.9304918842506886,1.5197192784538842,0.4375,2.739893674850464,2.347219944000244,0.49275532581453635,2.5866009125434664,3.690688831764355,0.625,2.8076682090759277,0.36063146591186523,0.5932409147869674,2.620632681631504,0.4647717197661412,0.9484310746192932,0.625,0.625
9001,pixelate/s5,64.0,0.609375,1.786696434020996,0.8210450410842896,0.5917578125,1.9301323956251144,1.5179725928604604,0.484375,2.4062585830688477,1.7704589366912842,0.492734375,2.58615005671978,3.685888257026672,0.625,2.599830150604248,0.26737406849861145,0.5933203125,2.620580675303936,0.46427822563797233,0.9622359871864319,0.609375,0.625
9002,pixelate/s5,64.0,0.59375,1.763623595237732,1.1468161344528198,0.5917627805486284,1.9297171617089364,1.5170470156574487,0.453125,2.956234931945801,2.3343844413757324,0.49263559850374067,2.587072961645531,3.6825179233218073,0.59375,2.4309070110321045,0.4399307668209076,0.5933213840399002,2.620107673647398,0.46421750878306695,0.9622359871864319,0.609375,0.625
9003,pixelate/s5,64.0,0.53125,2.410616874694824,1.0928778648376465,0.5916122512437811,1.9309134296516874,1.515991868516106,0.46875,2.454202175140381,2.104635238647461,0.4925761815920398,2.5867424373009906,3.678592842016647,0.53125,3.448573589324951,0.43378233909606934,0.5931669776119403,2.622168534134158,0.46414179940573613,0.9652698636054993,0.5625,0.5625
9004,pixelate/s5,64.0,0.640625,1.631874442100525,0.9722974300384521,0.5917338709677419,1.9301713974245134,1.5146427508027618,0.59375,1.9551544189453125,1.7746126651763916,0.49282723325062033,2.58517522137455,3.6738683254488054,0.65625,2.271256685256958,0.3356384038925171,0.5933235111662531,2.6212977851295,0.46382293241935096,0.9652698636054993,0.6875,0.65625
9005,pixelate/s5,64.0,0.609375,2.0310609340667725,0.8881518840789795,0.5917775371287128,1.9304211240003604,1.5130920308356237,0.515625,2.49078631401062,1.6916311979293823,0.49288366336633666,2.584941585465233,3.6689617979054403,0.609375,2.9988937377929688,0.3006269931793213,0.5933632425742574,2.6222324285766865,0.4634189820746974,0.962795078754425,0.65625,0.640625
9006,pixelate/s5,64.0,0.6875,1.3986713886260986,1.0140814781188965,0.5920138888888888,1.9291081616907944,1.511859906014101,0.546875,2.137216329574585,1.8419928550720215,0.49301697530864197,2.5838360910062437,3.6644507634786914,0.6875,1.905531883239746,0.3158973455429077,0.5935956790123457,2.620462797600546,0.46305473112029794,0.962795078754425,0.734375,0.71875
9007,pixelate/s5,64.0,0.625,1.8024792671203613,1.0667710304260254,0.5920951354679803,1.9287962678618031,1.510763627995411,0.578125,1.6814002990722656,1.5335887670516968,0.4932266009852217,2.5816133427502486,3.659202334916063,0.625,2.4385986328125,0.40792369842529297,0.5936730295566502,2.620014856307965,0.46291894039937426,0.9380584359169006,0.6875,0.671875
9008,pixelate/s5,64.0,0.515625,2.701803684234619,1.2428271770477295,0.5919072481572482,1.9306955489831124,1.5101053074771122,0.4375,2.509638786315918,2.1671319007873535,0.4930896805896806,2.581436501088248,3.6555363141933883,0.53125,3.816110134124756,0.4300220012664795,0.5935196560196561,2.6229536653443697,0.4628381125390969,0.9380584359169006,0.53125,0.546875
9009,pixelate/s5,64.0,0.6875,1.515478253364563,0.8658901453018188,0.5921415441176471,1.9296778595330668,1.5085263487462903,0.5625,2.019580125808716,1.5513532161712646,0.49325980392156865,2.5800594021292294,3.650379002678628,0.6875,2.0994129180908203,0.2900792062282562,0.59375,2.621670477238356,0.46241468384715856,0.9370775818824768,0.703125,0.71875
9010,pixelate/s5,64.0,0.5625,2.076054334640503,1.224762201309204,0.5920690709046454,1.930035748225261,1.5078325488748061,0.546875,2.4198625087738037,1.5614824295043945,0.4933908924205379,2.5796677226833724,3.64527167609385,0.578125,2.8389549255371094,0.5346176624298096,0.5937117970660146,2.6222017350581575,0.46259121924711616,0.9370775818824768,0.5625,0.5625
9011,pixelate/s5,64.0,0.6875,1.6315103769302368,0.7708290815353394,0.5923018292682927,1.9293076375635658,1.5060349794422707,0.546875,2.088648796081543,1.61441969871521,0.49352134146341464,2.5784701155453194,3.6403183785880486,0.703125,2.3471217155456543,0.22643539309501648,0.5939786585365854,2.6215308081812974,0.462015229427233,0.9162918329238892,0.671875,0.703125
