global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run,frozen_acc,frozen_nll,frozen_ent,frozen_acc_run,frozen_nll_run,frozen_ent_run
564,contrast/s5,64,0.25,4.223282337188721,5.035043716430664,0.2231501436781609,4.657242783184709,5.815617884712657,0.203125,4.735820293426514,6.187922477722168,0.21318247126436782,4.91981370695706,6.215237847689925
565,contrast/s5,64,0.1875,4.509913921356201,5.279760360717773,0.22294642857142857,4.65640090397426,5.812555841718401,0.1875,5.011257171630859,6.260334014892578,0.21303571428571427,4.920336241040911,6.21549554007394
566,contrast/s5,64,0.1875,4.787750720977783,5.461820125579834,0.2227450284090909,4.65714720975269,5.810563025149432,0.203125,5.298793315887451,6.3167524337768555,0.2129794034090909,4.9224865653298115,6.2160708633336155
567,contrast/s5,64,0.3125,4.044048309326172,5.178706169128418,0.2232521186440678,4.65368337415706,5.806993212403551,0.28125,4.635418891906738,6.183931350708008,0.2133651129943503,4.920864714067535,6.215889284166239
568,contrast/s5,64,0.296875,4.12003755569458,5.399566650390625,0.22366573033707865,4.650685363940978,5.804704299133815,0.21875,4.845821380615234,6.287823677062988,0.21339536516853932,4.920443122306566,6.21629340996903
569,contrast/s5,64,0.234375,4.435297012329102,5.084155559539795,0.22372555865921787,4.6494820770604655,5.8006788871807755,0.21875,4.905149459838867,6.183849334716797,0.21342527932960895,4.9203576828514395,6.2161121581519785
570,contrast/s5,64,0.1875,4.501219749450684,5.2142558097839355,0.22352430555555555,4.648658397462633,5.797420981195238,0.171875,4.9809980392456055,6.217876434326172,0.21319444444444444,4.920694573720296,6.216121959686279
571,contrast/s5,64,0.234375,4.919217109680176,5.476370811462402,0.2235842541436464,4.650153196977647,5.79564722335141,0.171875,5.372158050537109,6.277618408203125,0.2129661602209945,4.9231888470728755,6.216461719070351
572,contrast/s5,64,0.296875,4.073870658874512,4.990548133850098,0.22398695054945056,4.646986809405652,5.791223601980524,0.25,4.689797878265381,6.139894485473633,0.21316964285714285,4.921906479112395,6.216041019984654
573,contrast/s5,64,0.28125,4.033712387084961,5.251333713531494,0.22429986338797814,4.643635583054173,5.788273384010857,0.296875,4.709902286529541,6.247480392456055,0.21362704918032788,4.9207479862567505,6.216212819834224
574,contrast/s5,64,0.390625,4.176755905151367,4.9408721923828125,0.22520380434782608,4.641098193500353,5.783667942752009,0.359375,4.7727556228637695,6.127689361572266,0.21441915760869565,4.919943679933962,6.215731714082801
575,contrast/s5,64,0.234375,4.216349124908447,5.132175445556641,0.2252533783783784,4.638802252589046,5.7801463616860875,0.21875,4.819357872009277,6.203420639038086,0.21444256756756758,4.9193999728641,6.215665167731208
576,contrast/s5,64,0.28125,4.125565052032471,5.079494476318359,0.22555443548387097,4.6360429128011065,5.776379416065831,0.234375,4.756222248077393,6.221604347229004,0.2145497311827957,4.918522673268472,6.215697098803776
577,contrast/s5,64,0.3125,3.91982102394104,4.897096633911133,0.22601938502673796,4.632212849224315,5.771677369102437,0.328125,4.482375144958496,6.128782272338867,0.21515708556149732,4.916190333544889,6.215232313635515
578,contrast/s5,64,0.234375,4.265992641448975,5.003266334533691,0.22606382978723405,4.630264869395723,5.767590076365369,0.234375,4.847990989685059,6.220065593719482,0.2152593085106383,4.91582757107755,6.215258022572132
579,contrast/s5,64,0.234375,4.249512195587158,4.9843292236328125,0.22610780423280424,4.6282503049840376,5.763445839049324,0.21875,4.832317352294922,6.176706790924072,0.2152777777777778,4.9153857180681175,6.215054047801507
580,contrast/s5,64,0.1875,4.662223815917969,4.726932525634766,0.2259046052631579,4.628429112936321,5.7579905058208265,0.125,5.080987453460693,6.0542168617248535,0.21480263157894736,4.916257306149132,6.214207536295841
581,contrast/s5,64,0.171875,4.366844654083252,5.191349029541016,0.2256217277486911,4.627059560795729,5.755023796520932,0.171875,4.9960713386535645,6.232681751251221,0.21457787958115182,4.916675180664861,6.214304259934351
582,contrast/s5,64,0.296875,4.249382495880127,5.169877052307129,0.22599283854166666,4.625092492749293,5.751976157228152,0.21875,4.856513500213623,6.259422779083252,0.214599609375,4.916361838579178,6.214539252221584
583,contrast/s5,64,0.25,4.434752464294434,4.87210750579834,0.2261172279792746,4.624106274985279,5.7474172522984635,0.25,4.915955543518066,6.157897472381592,0.21478303108808292,4.916359733423421,6.2142457714970245
584,contrast/s5,64,0.265625,4.131514072418213,5.164188385009766,0.2263208762886598,4.6215671399205,5.744410917930996,0.234375,4.781606674194336,6.299144744873047,0.21488402061855671,4.9156651300253325,6.214683395071128
585,contrast/s5,64,0.359375,3.584886074066162,4.869413375854492,0.22700320512820513,4.616250826762273,5.739923751048552,0.25,4.269906997680664,6.120105743408203,0.21506410256410258,4.912353549859462,6.2141983814728565
586,contrast/s5,64,0.328125,3.754612922668457,4.925803184509277,0.22751913265306123,4.611854715006692,5.735770074688658,0.296875,4.401152610778809,6.1484198570251465,0.2154815051020408,4.909745381802929,6.213862776756287
587,contrast/s5,64,0.25,4.082242965698242,5.111959457397461,0.22763324873096447,4.609166330492436,5.73260352333185,0.21875,4.634768009185791,6.226114273071289,0.2154980964467005,4.908349557576446,6.213924967092911
588,contrast/s5,64,0.21875,4.274904251098633,5.103048324584961,0.22758838383838384,4.607478138172265,5.7294239516210075,0.28125,4.886375904083252,6.26795768737793,0.21583017676767677,4.908238579528501,6.214197859619603
589,contrast/s5,64,0.234375,4.203235626220703,5.00892448425293,0.22762248743718594,4.605446768765473,5.725803351282474,0.1875,4.745494842529297,6.2095136642456055,0.21568781407035176,4.907420771804886,6.214174320949382
590,contrast/s5,64,0.25,3.9532854557037354,5.124120235443115,0.227734375,4.602185962200164,5.722794935703278,0.21875,4.7066969871521,6.258009910583496,0.215703125,4.906417152881622,6.214393498897553
591,contrast/s5,64,0.265625,3.9973278045654297,4.849673271179199,0.2279228855721393,4.599176717634818,5.718451046825049,0.21875,4.655038356781006,6.087059497833252,0.21571828358208955,4.905166512105002,6.213759996404695
592,contrast/s5,64,0.25,4.119288444519043,4.922872543334961,0.2280321782178218,4.596801033114443,5.714512539382028,0.265625,4.835201740264893,6.2404866218566895,0.21596534653465346,4.9048201518483685,6.213892306431686
593,contrast/s5,64,0.21875,4.3466796875,4.928524971008301,0.22798645320197045,4.5955689082591995,5.7106406794393,0.203125,4.990732669830322,6.188207626342773,0.2159020935960591,4.905243366222663,6.213765780914006
594,contrast/s5,64,0.234375,4.017754077911377,4.9573974609375,0.22801776960784315,4.592736482620239,5.706948310721154,0.21875,4.678755283355713,6.225350379943848,0.21591605392156862,4.904133130522335,6.213822568164153
595,contrast/s5,64,0.25,4.3281683921813965,5.216433525085449,0.228125,4.5914459065693185,5.704555555669272,0.234375,4.941952228546143,6.224368095397949,0.2160060975609756,4.904317613927329,6.213874009760414
596,contrast/s5,64,0.234375,4.229033946990967,5.0746660232543945,0.22815533980582525,4.589686625212142,5.701497839492502,0.28125,4.908891677856445,6.316718578338623,0.21632281553398058,4.90433981812116,6.214373255238949
597,contrast/s5,64,0.203125,4.499556064605713,4.832850933074951,0.22803442028985507,4.589251211875879,5.69730147762575,0.234375,4.982734680175781,6.234136581420898,0.21641002415458938,4.9047185372615205,6.2144687302446595
598,contrast/s5,64,0.09375,4.85523796081543,4.937430381774902,0.2273888221153846,4.590529994322703,5.69364825120339,0.0625,5.347580432891846,6.229204177856445,0.2156700721153846,4.906847680990513,6.214539573742793
599,contrast/s5,64,0.234375,4.470747470855713,5.038080215454102,0.22742224880382775,4.589956872200852,5.690511562037126,0.234375,5.049205303192139,6.288275718688965,0.21575956937799043,4.907528817938846,6.214892378264067
600,contrast/s5,64,0.203125,4.275419235229492,4.776984214782715,0.22730654761904762,4.58845907392956,5.6861614318121045,0.171875,4.815558910369873,6.147696495056152,0.21555059523809525,4.9070908659980415,6.214572397867839
601,contrast/s5,64,0.265625,4.157107353210449,4.986577033996582,0.22748815165876776,4.586414752978285,5.682845865945681,0.25,4.880558013916016,6.254477024078369,0.21571386255924171,4.906965117883908,6.214761519319073
602,contrast/s5,64,0.25,4.364416122436523,4.81273078918457,0.2275943396226415,4.585367589626673,5.6787415495458635,0.171875,5.05612850189209,6.166092395782471,0.21550707547169812,4.9076687187518715,6.214531947981636
603,contrast/s5,64,0.328125,3.684842109680176,4.744305610656738,0.22806631455399062,4.581139770471994,5.674354526358591,0.3125,4.429901599884033,6.217450141906738,0.215962441314554,4.905425680635121,6.214545648422599
604,contrast/s5,64,0.28125,4.472708225250244,4.901711463928223,0.22831483644859812,4.580633081008341,5.670744044758449,0.21875,5.0204973220825195,6.227903366088867,0.2159754672897196,4.9059633985858095,6.214608067664031
605,contrast/s5,64,0.21875,4.453170299530029,4.879667282104492,0.2282703488372093,4.58004023086193,5.667064617955408,0.234375,4.99302864074707,6.247873306274414,0.2160610465116279,4.906368353200513,6.2147627897040785
606,contrast/s5,64,0.28125,4.458099365234375,4.811398506164551,0.228515625,4.579475689817358,5.66310320077119,0.234375,5.0087666511535645,6.242902755737305,0.21614583333333334,4.90684241939474,6.214893067324603
607,contrast/s5,64,0.28125,4.490449905395508,5.101017475128174,0.22875864055299538,4.579065432746289,5.660512943970993,0.21875,5.1690192222595215,6.278097152709961,0.21615783410138248,4.908050607426375,6.215184330390895
608,contrast/s5,64,0.296875,3.992413282394409,4.809020042419434,0.2290711009174312,4.576374367836419,5.65660701322993,0.265625,4.7069220542907715,6.1533331871032715,0.21638474770642202,4.9071279993844685,6.214900609550126
609,contrast/s5,64,0.265625,4.135811805725098,4.609411716461182,0.22923801369863014,4.574362666639563,5.651825299546054,0.25,4.800533771514893,6.119797706604004,0.2165382420091324,4.906641267750361,6.214466349719322
610,contrast/s5,64,0.3125,3.830014944076538,4.437800407409668,0.22961647727272727,4.570979267900641,5.646307004581798,0.28125,4.526259899139404,6.108269691467285,0.21683238636363636,4.904912261529402,6.213983637636358
611,contrast/s5,64,0.234375,4.360062122344971,4.740157127380371,0.22963800904977374,4.570024891676407,5.642206778893104,0.234375,4.89838171005249,6.274909496307373,0.21691176470588236,4.90488271152272,6.214259320254779
612,contrast/s5,64,0.15625,4.712760925292969,4.864358901977539,0.22930743243243243,4.570667846782787,5.638702959627719,0.140625,5.291506767272949,6.242953777313232,0.21656813063063063,4.906624261323397,6.214388574565853
