corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
brightness/s5,72,0.8731378316879272,0.7888550162315369,0.8731378316879272,0.7888550162315369,large,1.1152827739715576,0.703125,0.7109375,0.734375,small,False
brightness/s5,73,0.8735816478729248,0.7894663214683533,0.8735816478729248,0.7894663214683533,large,1.0465452671051025,0.7265625,0.7421875,0.7421875,small,False
brightness/s5,74,0.8734819889068604,0.7896715998649597,0.8734819889068604,0.7896715998649597,large,1.0292320251464844,0.6875,0.7109375,0.75,small,False
brightness/s5,75,0.873614490032196,0.7900571227073669,0.873614490032196,0.7900571227073669,large,0.9839964509010315,0.671875,0.6796875,0.7421875,small,False
brightness/s5,76,0.8736187219619751,0.7902460694313049,0.8736187219619751,0.7902460694313049,large,0.8996745944023132,0.6953125,0.6875,0.734375,large,True
brightness/s5,77,0.8739517331123352,0.7906896471977234,0.8739517331123352,0.7906896471977234,large,0.9166532158851624,0.7421875,0.71875,0.7890625,large,True
brightness/s5,78,0.8741474151611328,0.7907237410545349,0.8741474151611328,0.7907237410545349,large,1.308977723121643,0.65625,0.6875,0.7109375,small,False
brightness/s5,79,0.8744125366210938,0.7906950116157532,0.8744125366210938,0.7906950116157532,large,0.9526349306106567,0.609375,0.6484375,0.6484375,small,False
brightness/s5,80,0.8742506504058838,0.790413498878479,0.8742506504058838,0.790413498878479,large,1.0405306816101074,0.6875,0.703125,0.7421875,small,False
brightness/s5,81,0.8747044801712036,0.7909055948257446,0.8747044801712036,0.7909055948257446,large,1.0424658060073853,0.703125,0.7578125,0.7578125,small,False
brightness/s5,82,0.8753892779350281,0.791140079498291,0.8753892779350281,0.791140079498291,large,0.9532748460769653,0.734375,0.7734375,0.78125,small,False
brightness/s5,83,0.8757518529891968,0.7916158437728882,0.8757518529891968,0.7916158437728882,large,1.0180089473724365,0.7265625,0.734375,0.7265625,small,False
brightness/s5,84,0.8756120204925537,0.7914207577705383,0.8756120204925537,0.7914207577705383,large,1.0126655101776123,0.703125,0.7265625,0.796875,small,False
brightness/s5,85,0.8759601712226868,0.7918037176132202,0.8759601712226868,0.7918037176132202,large,1.0794694423675537,0.6875,0.71875,0.734375,small,False
brightness/s5,86,0.876343309879303,0.7923211455345154,0.876343309879303,0.7923211455345154,large,0.9804277420043945,0.7109375,0.78125,0.828125,small,False
brightness/s5,87,0.8763163685798645,0.7923583388328552,0.8763163685798645,0.7923583388328552,large,1.054661512374878,0.703125,0.71875,0.7421875,small,False
brightness/s5,88,0.8763542771339417,0.7924187183380127,0.8763542771339417,0.7924187183380127,large,0.9490311741828918,0.671875,0.6953125,0.734375,small,False
brightness/s5,89,0.8763107061386108,0.7926467657089233,0.8763107061386108,0.7926467657089233,large,0.9596104621887207,0.640625,0.6875,0.7265625,small,False
brightness/s5,90,0.8765313029289246,0.7927689552307129,0.8765313029289246,0.7927689552307129,large,1.3231290578842163,0.625,0.75,0.7265625,small,False
brightness/s5,91,0.8766762018203735,0.7930744886398315,0.8766762018203735,0.7930744886398315,large,1.3413810729980469,0.6953125,0.7421875,0.7265625,small,False
brightness/s5,92,0.8767269849777222,0.7929673194885254,0.8767269849777222,0.7929673194885254,large,0.9528538584709167,0.6953125,0.7265625,0.75,small,False
brightness/s5,93,0.8767363429069519,0.7929342985153198,0.8767363429069519,0.7929342985153198,large,0.9280402660369873,0.6484375,0.6953125,0.7109375,small,False
brightness/s5,94,0.8766613006591797,0.7928054928779602,0.8766613006591797,0.7928054928779602,large,1.023932933807373,0.625,0.6640625,0.6796875,small,False
brightness/s5,95,0.8767869472503662,0.7932056188583374,0.8767869472503662,0.7932056188583374,large,1.005817174911499,0.703125,0.703125,0.75,tie,False
