corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
contrast/s5,16,0.2311483770608902,0.24662110209465027,0.2311483770608902,0.24662110209465027,small,1.4757401943206787,0.1640625,0.171875,0.2578125,small,True
contrast/s5,17,0.1877564936876297,0.2368777096271515,0.1877564936876297,0.2368777096271515,small,1.4781495332717896,0.1484375,0.2421875,0.3671875,small,True
contrast/s5,18,0.2074151337146759,0.2643352150917053,0.2074151337146759,0.2643352150917053,small,1.4525781869888306,0.1640625,0.234375,0.3359375,small,True
contrast/s5,19,0.20919907093048096,0.26453959941864014,0.20919907093048096,0.26453959941864014,small,1.4742459058761597,0.1171875,0.1953125,0.2890625,small,True
contrast/s5,20,0.18169227242469788,0.2421625703573227,0.18169227242469788,0.2421625703573227,small,1.4731816053390503,0.1328125,0.1875,0.2890625,small,True
contrast/s5,21,0.2241058498620987,0.24488233029842377,0.2241058498620987,0.24488233029842377,small,1.4142338037490845,0.203125,0.25,0.3671875,small,True
contrast/s5,22,0.2318372279405594,0.23772022128105164,0.2318372279405594,0.23772022128105164,small,1.4429514408111572,0.2578125,0.2421875,0.3359375,large,False
contrast/s5,23,0.20834007859230042,0.26342907547950745,0.20834007859230042,0.26342907547950745,small,1.469995379447937,0.1796875,0.2421875,0.3046875,small,True
contrast/s5,24,0.19444996118545532,0.2609960734844208,0.19444996118545532,0.2609960734844208,small,1.4157497882843018,0.15625,0.265625,0.3203125,small,True
contrast/s5,25,0.21550710499286652,0.2008652240037918,0.21550710499286652,0.2008652240037918,large,1.5024954080581665,0.1875,0.2109375,0.3203125,small,False
contrast/s5,26,0.23332557082176208,0.29576951265335083,0.23332557082176208,0.29576951265335083,small,1.433910608291626,0.25,0.2890625,0.375,small,True
contrast/s5,27,0.2190990447998047,0.2759132385253906,0.2190990447998047,0.2759132385253906,small,1.4692175388336182,0.1875,0.234375,0.3046875,small,True
contrast/s5,28,0.1851898580789566,0.2489931434392929,0.1851898580789566,0.2489931434392929,small,1.457351803779602,0.1875,0.21875,0.28125,small,True
contrast/s5,29,0.24461740255355835,0.26809585094451904,0.24461740255355835,0.26809585094451904,small,1.444016933441162,0.2109375,0.2109375,0.296875,tie,False
contrast/s5,30,0.24373921751976013,0.2806895077228546,0.24373921751976013,0.2806895077228546,small,1.4472159147262573,0.2109375,0.265625,0.390625,small,True
contrast/s5,31,0.24332377314567566,0.2674860954284668,0.24332377314567566,0.2674860954284668,small,1.4480912685394287,0.2265625,0.296875,0.4375,small,True
contrast/s5,32,0.20377033948898315,0.24031300842761993,0.20377033948898315,0.24031300842761993,small,1.476859450340271,0.21875,0.1875,0.3046875,large,False
contrast/s5,33,0.21282942593097687,0.23196092247962952,0.21282942593097687,0.23196092247962952,small,1.4736729860305786,0.203125,0.1875,0.34375,large,False
contrast/s5,34,0.18926048278808594,0.22890309989452362,0.18926048278808594,0.22890309989452362,small,1.4705263376235962,0.171875,0.1640625,0.2421875,large,False
contrast/s5,35,0.18302081525325775,0.22525756061077118,0.18302081525325775,0.22525756061077118,small,1.4613122940063477,0.109375,0.1953125,0.3125,small,True
contrast/s5,36,0.2136915922164917,0.23165751993656158,0.2136915922164917,0.23165751993656158,small,1.436833381652832,0.125,0.234375,0.3359375,small,True
contrast/s5,37,0.2051272988319397,0.260062038898468,0.2051272988319397,0.260062038898468,small,1.4679765701293945,0.171875,0.28125,0.375,small,True
contrast/s5,38,0.19300828874111176,0.23297104239463806,0.19300828874111176,0.23297104239463806,small,1.4351619482040405,0.1640625,0.203125,0.2421875,small,True
contrast/s5,39,0.21080052852630615,0.20915982127189636,0.21080052852630615,0.20915982127189636,large,1.482134222984314,0.203125,0.1875,0.296875,large,True
contrast/s5,40,0.2038462907075882,0.2290685474872589,0.2038462907075882,0.2290685474872589,small,1.4796664714813232,0.1796875,0.1953125,0.3671875,small,True
contrast/s5,41,0.17985384166240692,0.2255212515592575,0.17985384166240692,0.2255212515592575,small,1.4810242652893066,0.1484375,0.1796875,0.2578125,small,True
contrast/s5,42,0.22929130494594574,0.27258461713790894,0.22929130494594574,0.27258461713790894,small,1.4677852392196655,0.2734375,0.2890625,0.4140625,small,True
contrast/s5,43,0.20425695180892944,0.2522110342979431,0.20425695180892944,0.2522110342979431,small,1.4584839344024658,0.15625,0.2421875,0.3203125,small,True
contrast/s5,44,0.2374379187822342,0.2521911561489105,0.2374379187822342,0.2521911561489105,small,1.45807683467865,0.234375,0.203125,0.3359375,large,False
contrast/s5,45,0.22609423100948334,0.30327388644218445,0.22609423100948334,0.30327388644218445,small,1.4538211822509766,0.171875,0.296875,0.390625,small,True
contrast/s5,46,0.2116663157939911,0.2417679727077484,0.2116663157939911,0.2417679727077484,small,1.4715855121612549,0.1640625,0.1953125,0.2421875,small,True
