proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
nuclear_norm,platt,1024,300,0.7792642140468228,233,299,0.7776748208549542,0.7807017543859649,0.7746478873239436,228,71,-0.021336868941760883,0.9386221363767292,0.8274537607283952,0.7716085112749466,0.8784124949446852,0.836672034438624,0.9116825273745373,0.9548206781247133,0.9338256154454468
nuclear_norm,linear,1024,300,0.7759197324414716,232,299,0.7754818383988139,0.7763157894736842,0.7746478873239436,228,71,-0.027738146439894657,1.2263712254543575,0.8465844194913941,0.749223643471725,0.8655770580784388,0.836672034438624,0.8859528074150169,0.9412506613092056,0.9338256154454468
cot,linear,512,600,0.6862416107382551,409,596,0.7667732115677321,0.6088888888888889,0.9246575342465754,450,146,-0.007129884832332645,0.17401198349489477,0.785457332229766,0.6238796401644352,0.7898605194364605,0.7589965756924894,0.741069762271472,0.8608540888393759,0.8650835340548444
cot,platt,512,600,0.6862416107382551,409,596,0.7667732115677321,0.6088888888888889,0.9246575342465754,450,146,-0.007114189343204636,0.174007515300916,0.7855622370080028,0.6234242287749427,0.789572180851721,0.7589965756924894,0.7405628836722037,0.8605596340011561,0.8650835340548444
atc,isotonic,1024,300,0.7859531772575251,235,299,0.7578144304423029,0.8114035087719298,0.704225352112676,228,71,0.0024445163692601505,0.35400042603128357,0.630134916166829,0.5920954103596795,0.7694773618240367,0.6727755930298421,0.8185308387980221,0.9047269415674666,0.7992057991722513
ac_mc,linear,1024,300,0.7959866220735786,238,299,0.7546948356807512,0.8333333333333334,0.676056338028169,228,71,-0.021598121632164367,1.2668672486017534,0.7900951970640866,0.6292769645588815,0.7932697930457717,0.7737913276280493,0.7496522453881548,0.865824604286662,0.8506143692136885
ac_mc,platt,1024,300,0.7959866220735786,238,299,0.7546948356807512,0.8333333333333334,0.676056338028169,228,71,-0.020340839124514253,1.1418840044453646,0.7834246894767791,0.6318811371612736,0.7949095150778317,0.7737913276280493,0.7757759692438863,0.8807814537351966,0.8506143692136885
atc,isotonic,512,600,0.7835570469798657,467,596,0.7433028919330289,0.8222222222222222,0.6643835616438356,450,146,0.003521667073502107,0.31966995306872836,0.5902104207027432,0.5912251418077914,0.7689116606007425,0.6666998370953654,0.8053518807207571,0.8974139962808454,0.8024691058567845
nuclear_norm,identity,1024,300,0.8294314381270903,248,299,0.7378304917222633,0.9122807017543859,0.5633802816901409,228,71,0.01543674826805114,0.8742866840892874,0.8266475616361629,0.7492236434717253,0.865577058078439,0.836672034438624,0.8859528074150169,0.9412506613092056,0.9338256154454468
nuclear_norm,linear,128,2355,0.7702582368655387,1730,2246,0.7373844813432648,0.8086532602071907,0.6661157024793388,1641,605,-0.01717570120833335,1.1969578942946304,0.7487204880847195,0.6428640279167699,0.8017880193148124,0.7511530545401996,0.8102007996907412,0.9001115484709332,0.8695367758430667
nuclear_norm,platt,128,2355,0.7702582368655387,1730,2246,0.7373844813432648,0.8086532602071907,0.6661157024793388,1641,605,-0.014667705209774855,1.0214061169476207,0.7369761303575978,0.6568135267886666,0.8104403289500508,0.7511530545401996,0.8377559264431008,0.9152900777584672,0.8695367758430667
nuclear_norm,identity,512,600,0.8221476510067114,490,596,0.731841704718417,0.9088888888888889,0.5547945205479452,450,146,0.02133265159995217,0.9042589380561542,0.798380555988881,0.7199963400565452,0.8485259807787533,0.8122136560341465,0.8637153681879347,0.929362882940746,0.9152129622337278
cot,identity,1024,300,0.8260869565217391,247,299,0.7307882382011366,0.9122807017543859,0.5492957746478874,228,71,0.009096007461428367,0.5632478788559366,0.8235402341697453,0.7439658658785243,0.8625345592372078,0.8229871459924623,0.8803152732364955,0.938251178116231,0.931651325819816
ac_mc,linear,128,2355,0.7653606411398041,1719,2246,0.7246412941111295,0.8129189518586228,0.6363636363636364,1641,605,-0.014594669660949397,1.0382463096504497,0.7074362081263589,0.6007859719935136,0.7751038459416348,0.7075802821650446,0.7228175240640549,0.8501867583443387,0.8287421146585364
ac_mc,platt,128,2355,0.7653606411398041,1719,2246,0.7246412941111295,0.8129189518586228,0.6363636363636364,1641,605,-0.014032707324259434,0.9360548405454144,0.7011975580901498,0.6030373579433104,0.7765548003478636,0.7075802821650446,0.7470449935915722,0.8643176462340522,0.8287421146585364
ac_mc,identity,1024,300,0.822742474916388,246,299,0.7237459846800098,0.9122807017543859,0.5352112676056338,228,71,0.0291344666569817,0.9525768922973705,0.7706999215967248,0.6292769645588815,0.7932697930457717,0.7737913276280493,0.7496522453881544,0.8658246042866617,0.8506143692136885
cot,identity,512,600,0.802013422818792,478,596,0.7208219178082191,0.88,0.5616438356164384,450,146,0.007284039006952255,0.3585790595435881,0.7652648462969531,0.6238796401644352,0.7898605194364605,0.7589965756924894,0.7410697622714718,0.8608540888393758,0.8650835340548444
cot,isotonic,512,600,0.6023489932885906,359,596,0.7204718417047185,0.4888888888888889,0.952054794520548,450,146,-0.01112347864632914,0.29626632419574717,0.6866753956079544,0.2731505658946391,0.5226380830887078,0.647945085128526,0.2966604366917385,0.5446654355581402,0.831231934206511
atc,linear,128,2355,0.7720391807658059,1734,2246,0.7192983516400502,0.8336380255941499,0.6049586776859505,1641,605,0.002184807851907797,0.5696046616553583,0.6415209921727122,0.5666937665080826,0.7527906525110966,0.6114335546301408,0.7309203308339608,0.8549387877701893,0.811147256122903
atc,platt,128,2355,0.7720391807658059,1734,2246,0.7192983516400502,0.8336380255941499,0.6049586776859505,1641,605,0.0015991709605113287,0.548868334660975,0.6413221905484804,0.5678647446963843,0.7535680093371694,0.6114335546301408,0.7391491845873189,0.8597378580633279,0.811147256122903
ac_mc,identity,512,600,0.8087248322147651,482,596,0.7044444444444444,0.9088888888888889,0.5,450,146,0.03161888051097913,0.8916698854149379,0.7456692836905086,0.6282883656163739,0.7926464316556114,0.7558227787153867,0.7422153498201163,0.8615192103604633,0.8396058705514444
atc,isotonic,128,2355,0.7560106856634016,1698,2246,0.7041553980892521,0.8165752589884216,0.5917355371900826,1641,605,0.004624376824331692,0.288232172780977,0.5426026047520633,0.5490682198948735,0.7409913763971032,0.6364567343843388,0.769297245184346,0.8770959156126232,0.8055477978153808
ac_mc,beta,512,600,0.7885906040268457,470,596,0.6864840182648402,0.8866666666666667,0.4863013698630137,450,146,0.02192193014335193,1.1611657805272122,0.7014257027198311,0.6597545941330909,0.8122527895508214,0.7558227787153867,0.6735196907573593,0.8206824542765364,0.8396058705514444
nuclear_norm,beta,128,2355,0.7689225289403384,1727,2246,0.6822079864625984,0.870201096892139,0.49421487603305786,1641,605,0.02280687317336229,1.1604517020695446,0.7050883495866758,0.6735255335874135,0.820686014007436,0.7511530545401996,0.7730641484123478,0.8792406658090536,0.8695367758430667
nuclear_norm,identity,128,2355,0.7742653606411398,1739,2246,0.6665593948459163,0.9000609384521633,0.43305785123966944,1641,605,0.0293274908678296,0.858841438607399,0.7335015327821093,0.6428640279167699,0.8017880193148124,0.7511530545401996,0.8102007996907412,0.9001115484709332,0.8695367758430667
ac_mc,beta,1024,300,0.7792642140468228,233,299,0.6661415863602669,0.881578947368421,0.4507042253521127,228,71,0.01837084141993506,1.2503185916272697,0.7306435840019078,0.6620977383687193,0.8136938849276916,0.7737913276280493,0.680481896248071,0.8249132658941005,0.8506143692136885
atc,identity,1024,300,0.48494983277591974,145,299,0.6622807017543859,0.32456140350877194,1.0,228,71,-0.12531091635506045,1.4598821101274067,0.7400962531854176,0.6074443764963593,0.7793871800949508,0.643737186863937,0.7717235382270635,0.8784779668421192,0.8459859825950351
atc,beta,128,2355,0.7533392698130009,1692,2246,0.6605869229103398,0.8616697135892748,0.45950413223140496,1641,605,0.024866587260203285,0.64996931320393,0.5819760399454816,0.6070318930771692,0.779122514805707,0.6114335546301408,0.609820709359947,0.7809101800847182,0.811147256122903
atc,identity,512,600,0.48825503355704697,291,596,0.6587975646879756,0.3244444444444444,0.9931506849315068,450,146,-0.12163655173676766,1.3524824018841513,0.7040109561685002,0.6032813300472372,0.7767118706748579,0.6400301364781806,0.7592623827729744,0.8713566335163659,0.8311996458709782
atc,identity,128,2355,0.5160284951024042,1159,2246,0.6552339079678285,0.3534430225472273,0.9570247933884297,1641,605,-0.11693083218702895,1.1844002316187168,0.6404228101239757,0.5666937665080826,0.7527906525110966,0.6114335546301408,0.7309203308339608,0.8549387877701893,0.811147256122903
ac_mc,identity,128,2355,0.767586821015138,1724,2246,0.6541627006310403,0.9000609384521633,0.40826446280991735,1641,605,0.034388543548221955,0.7812687615306251,0.6904380080626755,0.6007859719935132,0.7751038459416346,0.7075802821650446,0.7228175240640548,0.8501867583443385,0.8287421146585364
ac_mc,beta,128,2355,0.7595725734639359,1706,2246,0.6538957801380936,0.8829981718464351,0.42479338842975206,1641,605,0.025938051942247617,1.0223832023021233,0.6534674302407324,0.6304502130432046,0.7940089502286511,0.7075802821650446,0.6571332958952644,0.8106375860366113,0.8287421146585364
atc,beta,512,600,0.7634228187919463,455,596,0.6536225266362252,0.8688888888888889,0.4383561643835616,450,146,0.021465081987013194,0.7265251775037481,0.6416607459682487,0.6478092617248702,0.8048659899168744,0.6400301364781806,0.647709504407305,0.8048040161475991,0.8311996458709782
atc,beta,1024,300,0.7658862876254181,229,299,0.6525203854707191,0.868421052631579,0.43661971830985913,228,71,0.019237815718657774,0.7867486022360412,0.6777145692603841,0.6545494815306767,0.8090423236955386,0.643737186863937,0.6561255651693448,0.8100157808150066,0.8459859825950351
nuclear_norm,beta,1024,300,0.7792642140468228,233,299,0.6515937731653076,0.8947368421052632,0.4084507042253521,228,71,0.03209032297811336,1.2279380025090805,0.8088016786912314,0.7743508948836687,0.8799720989234083,0.836672034438624,0.8839106035877031,0.9401652001577718,0.9338256154454468
nuclear_norm,beta,512,600,0.7651006711409396,456,596,0.64779299847793,0.8777777777777778,0.4178082191780822,450,146,0.026267427823923124,1.2483351080726264,0.7753094336522326,0.7475060206141232,0.8645843050935653,0.8122136560341465,0.8476147010024074,0.9206599269015717,0.9152129622337278
cot,identity,128,2355,0.695013357079252,1561,2246,0.6462381837319514,0.7519804996953078,0.540495867768595,1641,605,0.0034563051571737374,0.11520533864279059,0.49512569124992833,0.43306898602218696,0.6580797717770901,0.6122244863458182,0.5495195517813172,0.7412958598166572,0.7291907328259621
ac_mc,isotonic,1024,300,0.7625418060200669,228,299,0.630930318754633,0.881578947368421,0.38028169014084506,228,71,0.0020576784658960802,0.47876341465992,0.594501564932345,0.6358201100875042,0.7973832893204523,0.6871177883640824,0.8272135386644189,0.9095128029139661,0.8180620648626991
cot,isotonic,128,2355,0.5391807658058771,1211,2246,0.6309028459768031,0.43205362583790374,0.8297520661157025,1641,605,0.00021166489351672765,0.1752911791518878,0.41975156313156237,0.36278673937696393,0.6023178059604115,0.59840703499541,0.2322698677625341,0.4819438429553117,0.7156744553930516
ac_mc,isotonic,512,600,0.761744966442953,454,596,0.6293759512937595,0.8888888888888888,0.3698630136986301,450,146,0.004323186194710182,0.4393485579992751,0.5585435103814866,0.6288976966807371,0.7930307034918239,0.6782363964760656,0.8199303121890096,0.905500034339596,0.8235147572147333
cot,isotonic,1024,300,0.431438127090301,129,299,0.6271929824561404,0.2543859649122807,1.0,228,71,-0.015372029917759291,0.24856118802116078,0.7746080137644542,0.13339941572245514,0.36523884749907853,0.46224969196496657,0.27128789776131457,0.5208530481444018,0.7075371808331519
cot,linear,128,2355,0.5351736420302761,1202,2246,0.6271171075891036,0.42778793418647165,0.8264462809917356,1641,605,-0.004865131052492622,0.055631616960540385,0.506170519089536,0.43306898602218696,0.6580797717770901,0.6122244863458182,0.5495195517813172,0.7412958598166572,0.7291907328259621
