proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,identity,512,600,0.7755102040816326,456,588,0.5013363486842105,0.87109375,0.13157894736842105,512,76,0.01257110195581249,0.5073669040606306,0.7813297967278499,0.5172790698575143,0.8107695720675728,0.900427438535484,0.8223993082842388,0.7937669300627436,0.8909359853899401,0.9295480711555059
atc,identity,512,600,0.8707482993197279,512,588,0.5,1.0,0.0,512,76,0.14606619654335484,0.6253303786220834,0.5271014351263896,0.385659445094391,0.7616275317330188,0.8727127429647277,0.8170882836635813,0.9593977937910394,0.9794885368349338,0.9487036500102766
atc,identity,1024,300,0.8720538720538721,259,297,0.5,1.0,0.0,259,38,0.1451653840432647,0.6452947746591506,0.5476175346062743,0.40274195201641516,0.7688674518299431,0.876850872058609,0.8140789837303406,0.9703145704607481,0.9850454661896313,0.9575235131875652
atc,isotonic,1024,300,0.8720538720538721,259,297,0.5,1.0,0.0,259,38,0.053575564779121135,0.16156220050787487,0.3615309919967905,0.1905736470504735,0.676809711737607,0.8226844545374654,0.8172452504887396,0.8667398306300431,0.9309886307737829,0.913216298123216
atc,identity,2048,150,0.8859060402684564,132,149,0.5,1.0,0.0,132,17,0.1446923399865257,0.6513644938767017,0.5512377290322177,0.40996104553698776,0.7722139409654853,0.8787570431953791,0.8103485060230637,0.973281652683076,0.986550380205226,0.9630437604135773
atc,isotonic,2048,150,0.8859060402684564,132,149,0.5,1.0,0.0,132,17,0.05364255786755512,0.16065238073071886,0.36148771442892375,0.18744148144546907,0.6835768259924664,0.8267870499665959,0.8172476127728666,0.8746476960452404,0.9352260133493082,0.9258282177669698
ac_mc,isotonic,1024,300,0.8720538720538721,259,297,0.5,1.0,0.0,259,38,0.018042852661930446,0.32734498776048326,0.6982851883669299,0.5350131264046003,0.7191035021231633,0.8479997064404936,0.8915504312210987,0.8418592091567737,0.9175288601219984,0.9102561826812522
ac_mc,isotonic,2048,150,0.8859060402684564,132,149,0.5,1.0,0.0,132,17,0.017797145725852347,0.3275209338674035,0.7090516782951977,0.529828081600365,0.7231460801590062,0.8503799622280656,0.8897376753086491,0.8457301087848377,0.9196358566219771,0.9170943223281897
cot,beta,128,2355,0.8265351860152398,1844,2231,0.5,1.0,0.0,1844,387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,beta,512,600,0.8707482993197279,512,588,0.5,1.0,0.0,512,76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,beta,1024,300,0.8720538720538721,259,297,0.5,1.0,0.0,259,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cot,beta,2048,150,0.8859060402684564,132,149,0.5,1.0,0.0,132,17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
atc,isotonic,512,600,0.8690476190476191,511,588,0.4990234375,0.998046875,0.0,512,76,0.05380237723935802,0.16027176714098296,0.3496612145550358,0.20805856127592756,0.6666424947955859,0.8164817786059808,0.8191132047962716,0.8476660889354555,0.9206878346841862,0.8967413253530893
