proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
atc,platt,512,600,0.8397976391231029,498,593,0.8143946526077952,0.8628318584070797,0.7659574468085106,452,141,-0.0006877490664347221,0.7035432812804039,0.7171172834339,0.6816064305689776,0.6003794321475887,0.7748415529303967,0.6362617413253334,0.7767039506958552,0.8813080906787678,0.8394466739143032
ac_mc,linear,1024,300,0.8366666666666667,251,300,0.7961612054532409,0.8761061946902655,0.7162162162162162,226,74,-0.018474628359470387,1.3244392852623714,0.7931735998264485,0.7578985833131496,0.6265751266871916,0.7915649857637663,0.7717867600068754,0.7491587064119574,0.865539546417122,0.8494288593178622
ac_mc,platt,1024,300,0.8366666666666667,251,300,0.7961612054532409,0.8761061946902655,0.7162162162162162,226,74,-0.017642029463950624,1.1832933505128869,0.7858682453582622,0.7545437399551692,0.6298036183156022,0.7936016748442521,0.7717867600068754,0.7765149855204876,0.881200876940376,0.8494288593178622
ac_mc,beta,2048,150,0.84,126,150,0.793829227457546,0.8849557522123894,0.7027027027027027,113,37,-0.014952426836534445,1.571893847627039,0.7958831676468326,0.7431973304824239,0.5919166445277093,0.7693611925017464,0.7931352357001528,0.6910322133719666,0.8312834735347303,0.857400651583433
ac_mc,linear,512,600,0.8279932546374368,491,593,0.7920118621728488,0.8606194690265486,0.723404255319149,452,141,-0.0169358411422821,1.2821390254584566,0.777253631106224,0.722069185858853,0.6271294144921128,0.7919150298435513,0.7575558869105513,0.7449187804172251,0.8630867745581698,0.8431384964890154
ac_mc,platt,512,600,0.8279932546374368,491,593,0.7920118621728488,0.8606194690265486,0.723404255319149,452,141,-0.016257760018790295,1.14541179982284,0.7698212145218207,0.7208672632440095,0.6298229005906915,0.7936138233364458,0.7575558869105513,0.7712237450174476,0.8781934553487902,0.8431384964890154
cot,linear,512,600,0.715008431703204,424,593,0.769134814535869,0.665929203539823,0.8723404255319149,452,141,-0.006803468898406835,0.18338758264021565,0.8050574939199244,0.670155240896176,0.6016756807152176,0.775677562338384,0.7531019468088767,0.7332867716915922,0.8563216520044277,0.8570960026130354
cot,platt,512,600,0.715008431703204,424,593,0.769134814535869,0.665929203539823,0.8723404255319149,452,141,-0.006784064616672959,0.1834140393833506,0.8051325845119808,0.670096929661493,0.6012204260247807,0.7753840506644308,0.7531019468088767,0.7328232033894738,0.856050935043864,0.8570960026130354
ac_mc,beta,1024,300,0.8233333333333334,247,300,0.764589811049988,0.8805309734513275,0.6486486486486487,226,74,-0.014090516937114711,1.546627840626065,0.7871858374286389,0.7306813720720783,0.5896106503486797,0.767861087924554,0.7717867600068754,0.6886326174412859,0.8298389105370306,0.8494288593178622
ac_mc,beta,512,600,0.8229342327150084,488,593,0.7594144228958766,0.8805309734513275,0.6382978723404256,452,141,-0.012406084010250425,1.4983527282424232,0.7728450118549071,0.7091775691898147,0.5906183742349653,0.7685169967118264,0.7575558869105513,0.6859225785085599,0.8282044303845276,0.8431384964890154
nuclear_norm,beta,128,2355,0.7843570481661511,1775,2263,0.7495577595802194,0.824773413897281,0.6743421052631579,1655,608,-0.018599513835798574,1.4697360991430617,0.7599372135316349,0.6656604674837675,0.5990606010497562,0.773990052293798,0.7520080009250921,0.782499610133899,0.88459008028233,0.8681445162626702
nuclear_norm,linear,128,2355,0.7817057003977022,1769,2263,0.7451438026713308,0.8241691842900302,0.6661184210526315,1655,608,-0.013748001121968065,1.2442502322532851,0.7528977568611313,0.6573803262588793,0.6435952105570638,0.8022438597814656,0.7520080009250921,0.8112244779848011,0.900680008651686,0.8681445162626702
nuclear_norm,platt,128,2355,0.7817057003977022,1769,2263,0.7451438026713308,0.8241691842900302,0.6661184210526315,1655,608,-0.011855411401546263,1.0515770129212243,0.7406471573740057,0.6542863925444957,0.6580680658005771,0.8112139457631242,0.7520080009250921,0.8397520625270732,0.916379868028032,0.8681445162626702
cot,isotonic,512,600,0.6239460370994941,370,593,0.7411190610682232,0.5176991150442478,0.9645390070921985,452,141,-0.013140853725042522,0.31593739545649885,0.8029184909335999,0.646912540624098,0.27987897903773173,0.5290358957932172,0.6535528274925999,0.5246943561674456,0.7243578923208096,0.8189600601435714
ac_mc,linear,128,2355,0.7794962439239947,1764,2263,0.7399914533312132,0.8253776435045317,0.6546052631578947,1655,608,-0.011284347371944009,1.0790409988493075,0.7113308905387588,0.623441358449959,0.6019587197939403,0.7758599872360608,0.710550143379517,0.7223651108940573,0.8499206497632925,0.8270633730107169
ac_mc,platt,128,2355,0.7794962439239947,1764,2263,0.7399914533312132,0.8253776435045317,0.6546052631578947,1655,608,-0.011236597104541331,0.9645996989411727,0.7046122837374119,0.625022766824581,0.6046113894587631,0.7775676108601509,0.710550143379517,0.7476148377730645,0.8646472331379222,0.8270633730107169
nuclear_norm,identity,1024,300,0.82,246,300,0.7260224826596509,0.911504424778761,0.5405405405405406,226,74,0.015547396865248916,0.878472123208217,0.8256426583223733,0.6684676509846031,0.746320431283978,0.8638983917591108,0.8360344509493104,0.8890589659549764,0.9428992342530438,0.9352289954755771
nuclear_norm,identity,2048,150,0.82,123,150,0.7260224826596509,0.911504424778761,0.5405405405405406,113,37,0.01619083272333282,1.0312454559125328,0.8343194341665838,0.6720442057273586,0.7628095538077029,0.8733896918373281,0.8547424603152307,0.8986873430588506,0.9479912146527786,0.949788786663967
cot,identity,2048,150,0.82,123,150,0.7260224826596509,0.911504424778761,0.5405405405405406,113,37,0.010388008626905792,0.743181531023885,0.8436440337646524,0.6762169246449303,0.7817839791215714,0.8841854890924027,0.8597223124492153,0.9112214779315057,0.9545792151160142,0.9548219976793235
ac_mc,beta,128,2355,0.7821475916924436,1770,2263,0.7215142510733026,0.8525679758308157,0.5904605263157895,1655,608,-0.005534514139896471,1.2562191413926902,0.7069444661384929,0.6192111507337553,0.5674426131643548,0.7532878687224127,0.710550143379517,0.6654618374498349,0.815758443076034,0.8270633730107169
nuclear_norm,identity,512,600,0.8195615514333895,486,593,0.7206034645076257,0.9092920353982301,0.5319148936170213,452,141,0.020424694420976445,0.9366488103906281,0.8045704352655332,0.6560803423166641,0.7202208280065748,0.8486582515987073,0.8151190959134584,0.8704498297665431,0.9329790082132304,0.920736517005216
