proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
nuclear_norm,isotonic,2048,150,0.5234899328859061,78,149,0.5773172905525847,0.5075757575757576,0.6470588235294118,132,17,0.0004959847811448835,0.3903362090257095,0.7917878149341488,0.8774640602223416,0.936730516329185,0.9232593843116826,0.812566980138007,0.9014249719960098,0.6972165825117937
prototype,isotonic,128,2355,0.7740923352756611,1727,2231,0.5754636869629555,0.8796095444685467,0.2713178294573643,1844,387,0.023593372180691193,0.19378230257029455,0.47830230122774003,0.6784947315080173,0.8237079163805683,0.8130870083152193,0.7478459234623842,0.8647808528537066,0.8723129554204649
nuclear_norm,isotonic,1024,300,0.3434343434343434,102,297,0.5674151595204227,0.26640926640926643,0.868421052631579,259,38,0.0027491743617891955,0.11743945115682512,0.39902923295512716,0.7347281152687299,0.8571628289121793,0.7403882828854383,0.782481264333881,0.8845797105596991,0.6839804514591172
prototype,platt,1024,300,0.569023569023569,169,297,0.5620300751879699,0.5714285714285714,0.5526315789473685,259,38,-0.004973267968422729,0.6300119275130257,0.7830165266499384,0.8456279342274924,0.919580303305531,0.8205703839215484,0.8670597524617893,0.9311604332561545,0.9379893294396777
cot,isotonic,128,2355,0.6718960107575078,1499,2231,0.5616210406542345,0.7304772234273319,0.39276485788113696,1844,387,-0.0013852884506815072,0.08650457676033926,0.3849751432576935,0.5013416709521005,0.708054850242621,0.7927026404883868,0.6385179953674033,0.799073210267622,0.8163981340171175
prototype,linear,1024,300,0.5656565656565656,168,297,0.5600995732574681,0.5675675675675675,0.5526315789473685,259,38,-0.016333226111361183,0.873853970511266,0.7962886192893788,0.814959049024734,0.9027508233309643,0.8205703839215484,0.7969830902722593,0.8927390941771618,0.9379893294396777
prototype,beta,1024,300,0.5656565656565656,168,297,0.5600995732574681,0.5675675675675675,0.5526315789473685,259,38,-0.01099253744241098,0.7242037855489447,0.7998230586299198,0.8186386523195914,0.9047865230647456,0.8205703839215484,0.8247954692782626,0.9081825087933937,0.9379893294396777
cot,identity,128,2355,0.31331241595696996,699,2231,0.5570360187660798,0.18383947939262474,0.9302325581395349,1844,387,-0.018604571366526296,0.07504648976193297,0.3896033729759294,0.6258601788661617,0.791113252869753,0.7988412080296454,0.7091755763243485,0.8421256297752423,0.8400441897543411
cot,identity,512,600,0.20918367346938777,123,588,0.5458984375,0.091796875,1.0,512,76,-0.04403185546049401,0.20718315336574006,0.5467334835987493,0.8258293469040826,0.9087515319954529,0.9113414163978775,0.8677142273470247,0.931511796676255,0.9193263432305442
cot,isotonic,512,600,0.8724489795918368,513,588,0.5457956414473684,0.986328125,0.10526315789473684,512,76,0.0129779837149439,0.07985234724664801,0.559154875862088,0.32257143942469313,0.5679537300033279,0.8215334036957527,0.4495565830004348,0.6704898082748423,0.8688287157367199
prototype,identity,128,2355,0.7709547288211565,1720,2231,0.5439612795462062,0.8915401301518439,0.19638242894056848,1844,387,0.01589843954948623,0.4513689908176393,0.7331141728051862,0.7868476219182072,0.8870443178997356,0.8174847423772851,0.7688832371542696,0.8768598731577752,0.9024736297784226
ac_mc,identity,128,2355,0.24428507395786642,545,2231,0.5428416485900217,0.08568329718004339,1.0,1844,387,-0.11614047523202922,0.3733150545036511,0.4351719119443591,0.830266973909097,0.9111898671018555,0.8784877458925908,0.8855226329027299,0.9410221213673619,0.9177321158004276
nuclear_norm,identity,128,2355,0.24383684446436577,544,2231,0.5425704989154013,0.0851409978308026,1.0,1844,387,-0.12310059954147869,0.44591602841214356,0.49504796546307994,0.9107658759408241,0.9543405450575932,0.9393537648320726,0.9249831217910411,0.961760428480524,0.9534141268339108
ac_mc,isotonic,128,2355,0.8341550874047512,1861,2231,0.5413597840891893,0.9896963123644251,0.09302325581395349,1844,387,0.02164381785000583,0.2834330861987951,0.5937645039053875,0.6842592126712091,0.8271996208118142,0.8716863725814299,0.7889158983882667,0.8882093775615447,0.8666927657496095
prototype,linear,2048,150,0.5503355704697986,82,149,0.5412210338680927,0.553030303030303,0.5294117647058824,132,17,-0.01726203623986371,0.8867924124040716,0.8009981499668115,0.8163871381867847,0.9035414424290591,0.8198024414969605,0.7992488140037077,0.8940071666400151,0.9400056717700525
