global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l,cmp_fixed_ts_acc,cmp_coca_ts_acc,cmp_proxy_weighted_nuclear_norm_acc
260,snow/s5,128,0.0,13.531305313110352,0.011757667176425457,0.14873682950191572,8.844598031135355,0.7292292871516041,0.578125,1.7973918914794922,0.9225128889083862,0.5160141283524904,2.4274132996226636,1.9891157154835961,0.578125,2.3556809425354004,0.5065242648124695,0.5106261973180076,3.1383395277220627,0.7209462843178789,1.5961862800395465e-06,0.25,0.0703125,0.3125
261,snow/s5,128,0.0,13.782463073730469,0.01148495078086853,0.1481691316793893,8.86344484427503,0.7264898049517158,0.5390625,2.42059326171875,0.8236844539642334,0.5161020992366412,2.427387268943641,1.9846675045617663,0.5390625,3.3128066062927246,0.44615012407302856,0.5107347328244275,3.1390054326021035,0.7198974440116008,8.859964282237343e-07,0.2734375,0.0234375,0.3125
262,snow/s5,128,0.0,13.603389739990234,0.013098277151584625,0.14760575095057035,8.881467448441247,0.7237772896368864,0.5078125,2.380964756011963,1.0943942070007324,0.5160705798479087,2.427210757487627,1.981282434989291,0.5078125,3.1712939739227295,0.5666555166244507,0.5107236216730038,3.139128202721193,0.7193147750861745,1.2743131492243265e-06,0.15625,0.0546875,0.1953125
263,snow/s5,128,0.0,13.353677749633789,0.01759413257241249,0.14704663825757575,8.898407638976067,0.7211023534358846,0.5390625,2.290445566177368,1.0839136838912964,0.5161576704545454,2.4266927075205427,1.9778833109321017,0.5390625,3.0116467475891113,0.594970166683197,0.5108309659090909,3.1386453184214504,0.7188437727816177,1.5333723695221124e-06,0.3046875,0.1015625,0.3125
264,snow/s5,128,0.0,13.557391166687012,0.012929104268550873,0.14649174528301886,8.915988708891959,0.7184300015522342,0.5703125,2.5789787769317627,1.10801362991333,0.5163620283018868,2.4272673719334152,1.9746007838339177,0.5703125,3.4711661338806152,0.5783066749572754,0.5110554245283019,3.139900113951485,0.7183134441105825,1.54821316300513e-06,0.203125,0.0546875,0.21875
265,snow/s5,128,0.0,13.739068031311035,0.010909618809819221,0.14594102443609022,8.93412058604391,0.7157701504892928,0.5625,2.4527647495269775,0.9325239658355713,0.5165354793233082,2.4273632267363987,1.9706832018113674,0.5625,3.3020782470703125,0.5037847757339478,0.5112488251879699,3.1405098061812553,0.7175069453572869,1.1432983910708572e-06,0.265625,0.0703125,0.3203125
266,snow/s5,128,0.0,13.74909496307373,0.05131060630083084,0.14539442883895132,8.952154197942898,0.7132815379642424,0.5625,2.155518054962158,0.9480924606323242,0.5167076310861424,2.4263450800256336,1.966853273941783,0.5625,2.867262363433838,0.5188201665878296,0.5114407771535581,3.13948640751928,0.71676280011845,1.2298432920943014e-06,0.28125,0.0625,0.3046875
267,snow/s5,128,0.0,13.849940299987793,0.01065708789974451,0.14485191231343283,8.970429519219184,0.7106598049416137,0.5234375,2.3954687118530273,1.0352469682693481,0.5167327425373134,2.4262298696966313,1.9633771310101693,0.5234375,3.186227798461914,0.5772620439529419,0.5114855410447762,3.139660815694439,0.7162422749088772,1.5477660326723708e-06,0.1796875,0.0546875,0.203125
268,snow/s5,128,0.0,13.660149574279785,0.010939695872366428,0.14431342936802974,8.987863422769596,0.7080586149450738,0.5546875,2.2604105472564697,0.8579705357551575,0.5168738382899628,2.425613440988675,1.9592678128121954,0.5546875,3.0130488872528076,0.44864287972450256,0.5116461431226765,3.1391901393805295,0.7152474816182289,1.0963319709844654e-06,0.3046875,0.140625,0.34375
269,snow/s5,128,0.0078125,13.677414894104004,0.011313723400235176,0.14380787037037038,9.005232131922687,0.7054780783097225,0.625,2.228010416030884,0.7749638557434082,0.5172743055555555,2.424881577933276,1.9548815018600887,0.625,2.997849702835083,0.4209192991256714,0.5120659722222223,3.138666656282213,0.7141573772386268,7.592052497784607e-07,0.28125,0.109375,0.34375
270,snow/s5,128,0.0,13.774687767028809,0.010679581202566624,0.14327721402214022,9.022831599210901,0.7029142462170762,0.5234375,2.5002551078796387,0.799848198890686,0.5172970479704797,2.425159709040089,1.9506193863509766,0.5234375,3.3972816467285156,0.3914029598236084,0.5121079335793358,3.1396209551399483,0.7129664015286084,5.592058869297034e-07,0.28125,0.0625,0.296875
271,snow/s5,128,0.0,13.932571411132812,0.023897115141153336,0.14275045955882354,9.04088211322532,0.7004178597057676,0.4453125,2.9773097038269043,1.0791308879852295,0.5170323988970589,2.427189672256217,1.9474153845187496,0.4453125,4.014866828918457,0.5754328370094299,0.5118623621323529,3.1428387708523693,0.7124607634237584,1.073162252396287e-06,0.21875,0.0703125,0.265625
272,snow/s5,128,0.0,13.818255424499512,0.054682739078998566,0.1422275641025641,9.058381649164053,0.6980525295935817,0.5078125,2.866464853286743,0.9852570295333862,0.5169986263736264,2.4287987388533985,1.9438909949400487,0.5078125,3.925503730773926,0.5341873168945312,0.5118475274725275,3.145705675467467,0.7118077471361055,1.2851420478909859e-06,0.171875,0.0546875,0.2109375
273,snow/s5,128,0.0,13.915772438049316,0.00982842966914177,0.14170848540145986,9.076109352773123,0.6955407628055362,0.5078125,2.405757427215576,0.8722133636474609,0.5169651003649635,2.4287146464751586,1.9399797627090538,0.5078125,3.2985968589782715,0.4581787586212158,0.5118328010948905,3.146263672487579,0.7108820938933504,1.141621623901301e-06,0.2109375,0.0625,0.2734375
274,snow/s5,128,0.0,13.749174118041992,0.037530213594436646,0.14119318181818183,9.09310231555592,0.6931479971720413,0.546875,2.346165657043457,0.8940385580062866,0.5170738636363637,2.4284144683317703,1.9361763401464982,0.546875,3.1931912899017334,0.46321409940719604,0.5119602272727273,3.146434318369085,0.70998148300431,9.506831020189566e-07,0.2109375,0.0703125,0.25
