corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
gaussian_noise/s5,4096.0,0.5651290416717529,0.09642448276281357,0.5374579223459865,0.08998060410434194,0.4146021700851123,0.21242376162454446,2.645324215688427,6.189598515266926,0.4146021700851123
gaussian_noise/s5,4224.0,0.5323292016983032,0.10505655407905579,0.5365254276827713,0.09272168591792627,0.4017199573423646,0.20078989587462726,2.6479006128404246,6.170772732361948,0.4017199573423646
gaussian_noise/s5,4352.0,0.5455775260925293,0.1128721609711647,0.5381712637572728,0.09638540865487871,0.41248678328011645,0.20689627844287684,2.6310730238036975,6.138981359436942,0.41248678328011645
gaussian_noise/s5,4480.0,0.5476536750793457,0.11707411706447601,0.5398953385431042,0.10014699200207822,0.4085119135928226,0.2104719550896265,2.607898429790139,6.1112984450580035,0.4085119135928226
gaussian_noise/s5,4608.0,0.4926573932170868,0.13567468523979187,0.5313066212111011,0.10660657259075343,0.3924756565759457,0.21197705416423984,2.657604246593876,6.070539639639964,0.3924756565759457
gaussian_noise/s5,4736.0,0.5694360136985779,0.10891410708427429,0.5382392380270059,0.10702612431684813,0.39355962810759193,0.21178804431619622,2.6124546548919487,6.066719883882005,0.39355962810759193
gaussian_noise/s5,4864.0,0.5800208449363708,0.12846682965755463,0.5458358938287086,0.11092443437879476,0.3916056048153025,0.21447430898597872,2.5745324455496887,6.037854179092157,0.3916056048153025
gaussian_noise/s5,4992.0,0.5430988073348999,0.13767464458942413,0.5453382417389252,0.11578810896254554,0.38006367666706564,0.20388807098852804,2.578129889975669,5.999050040961321,0.38006367666706564
gaussian_noise/s5,5120.0,0.5781515836715698,0.10226647555828094,0.5513043039084969,0.11332963016177015,0.3834043718185082,0.2051697853542502,2.5468547255429477,6.010862355818273,0.3834043718185082
gaussian_noise/s5,5248.0,0.5792544484138489,0.13198843598365784,0.5563861483640155,0.11672214031120427,0.38329675876059766,0.20195709710802287,2.513004100645091,5.975081361469833,0.38329675876059766
gaussian_noise/s5,5376.0,0.5435717105865479,0.126688152551651,0.554056250586294,0.11853414253674004,0.374685984440489,0.20216944308838233,2.5241051232201177,5.96221171493195,0.374685984440489
